gene,p-value Repl. 1,p-value Repl. 2,p-value Repl. 3,Fisher Statistic,p-value combined,significant
RPL5,0.458881578947,0.366554054054,0.509868421053,4.91234993195,0.555103163898,False
PSMB3,0.5328125,0.874237804878,0.96875,1.59147449952,0.953188363452,False
RPL27,0.779725609756,1.0,1.0,0.497626407105,0.997867267137,False
RPS3A,1.0,0.84765625,1.0,0.330560181878,0.999334880476,False
ABCG8,1.0,1.0,1.0,-0.0,1.0,False
ADH7,1.0,1.0,1.0,-0.0,1.0,False
CABP5,1.0,1.0,1.0,-0.0,1.0,False
CRYGB,1.0,1.0,1.0,-0.0,1.0,False
CYP7A1,1.0,1.0,1.0,-0.0,1.0,False
DEFB129,1.0,1.0,1.0,-0.0,1.0,False
DMRTB1,1.0,1.0,1.0,-0.0,1.0,False
DMRTC2,1.0,1.0,1.0,-0.0,1.0,False
FAM71B,1.0,1.0,1.0,-0.0,1.0,False
FCRL4,1.0,1.0,1.0,-0.0,1.0,False
HTR3D,1.0,1.0,1.0,-0.0,1.0,False
IL1F10,1.0,1.0,1.0,-0.0,1.0,False
IL22,1.0,1.0,1.0,-0.0,1.0,False
KRT25,1.0,1.0,1.0,-0.0,1.0,False
KRT74,1.0,1.0,1.0,-0.0,1.0,False
KRT77,1.0,1.0,1.0,-0.0,1.0,False
KRT9,1.0,1.0,1.0,-0.0,1.0,False
LHX5,1.0,1.0,1.0,-0.0,1.0,False
LUZP4,1.0,1.0,1.0,-0.0,1.0,False
LYZL6,1.0,1.0,1.0,-0.0,1.0,False
MAGEB3,1.0,1.0,1.0,-0.0,1.0,False
MRGPRD,1.0,1.0,1.0,-0.0,1.0,False
NLRP5,1.0,1.0,1.0,-0.0,1.0,False
NPHS2,1.0,1.0,1.0,-0.0,1.0,False
NPSR1,1.0,1.0,1.0,-0.0,1.0,False
OC90,1.0,1.0,1.0,-0.0,1.0,False
OLIG2,1.0,1.0,1.0,-0.0,1.0,False
OR12D2,1.0,1.0,1.0,-0.0,1.0,False
OR52E8,1.0,1.0,1.0,-0.0,1.0,False
OR9Q2,1.0,1.0,1.0,-0.0,1.0,False
OTUD6A,1.0,1.0,1.0,-0.0,1.0,False
PIWIL3,1.0,1.0,1.0,-0.0,1.0,False
PLA2G2E,1.0,1.0,1.0,-0.0,1.0,False
POU4F2,1.0,1.0,1.0,-0.0,1.0,False
RNASE9,1.0,1.0,1.0,-0.0,1.0,False
RPL6,1.0,1.0,1.0,-0.0,1.0,False
RPS24,1.0,1.0,1.0,-0.0,1.0,False
RPS27,1.0,1.0,1.0,-0.0,1.0,False
RPS7,1.0,1.0,1.0,-0.0,1.0,False
RPTN,1.0,1.0,1.0,-0.0,1.0,False
RXFP2,1.0,1.0,1.0,-0.0,1.0,False
SAGE1,1.0,1.0,1.0,-0.0,1.0,False
SPATA16,1.0,1.0,1.0,-0.0,1.0,False
TAAR1,1.0,1.0,1.0,-0.0,1.0,False
TAAR8,1.0,1.0,1.0,-0.0,1.0,False
TAS2R13,1.0,1.0,1.0,-0.0,1.0,False
TAS2R9,1.0,1.0,1.0,-0.0,1.0,False
TGM6,1.0,1.0,1.0,-0.0,1.0,False
TPH2,1.0,1.0,1.0,-0.0,1.0,False
TRIM42,1.0,1.0,1.0,-0.0,1.0,False
VN1R2,1.0,1.0,1.0,-0.0,1.0,False
