gene	rank	fdr	effect_size	#_active_guide-RNA
SNRNP25	79	5.232041e-05	3.28234	4
ZCRB1	80	5.232041e-05	3.21474	4
LSM2	81	5.232041e-05	3.19719	4
CCT6A	82	5.232041e-05	3.21611	4
RPS27A	83	5.232041e-05	3.37692	4
RPS4X	84	5.232041e-05	3.28285	4
RFC2	85	5.232041e-05	3.54831	4
PPP4C	86	5.232041e-05	3.31381	4
GTPBP4	87	5.232041e-05	3.32993	4
COPA	88	5.232041e-05	3.24635	4
RPL21	89	5.232041e-05	3.16743	4
DNA2	90	5.232041e-05	3.18514	4
EIF3A	91	5.232041e-05	3.18338	4
HSPD1	92	5.232041e-05	3.17613	4
YRDC	93	5.232041e-05	3.42126	4
DHFR	94	5.232041e-05	3.20708	4
CDC7	95	5.232041e-05	3.18177	4
TXNL4B	96	5.232041e-05	3.44552	4
DPH3	97	5.232041e-05	3.19824	4
RUVBL2	98	5.232041e-05	3.14678	4
UBA52	99	5.232041e-05	3.15211	4
CPSF3	100	5.232041e-05	3.20148	4
PRELID1	101	5.232041e-05	3.24481	4
HMGCS1	102	5.232041e-05	3.12334	4
RPL27A	103	5.232041e-05	3.15307	4
SNRNP40	104	5.232041e-05	3.19375	4
PGD	105	5.232041e-05	3.15143	4
EIF3I	106	5.232041e-05	3.21778	4
SF3B1	107	5.232041e-05	3.16242	4
PFDN2	108	5.232041e-05	3.25837	4
RPS29	109	5.232041e-05	3.11102	4
MCM3	110	5.232041e-05	3.11347	4
CCT3	111	5.232041e-05	3.11265	4
SNRPD1	112	5.232041e-05	3.14032	4
ATP1A1	113	5.232041e-05	3.08303	4
DLST	114	5.232041e-05	3.17043	4
PSMG3	115	5.232041e-05	3.07685	4
TUFM	116	5.232041e-05	3.08258	4
RPS27	117	5.232041e-05	3.10024	4
RAD51	118	5.232041e-05	3.04536	4
XRCC6	119	5.232041e-05	3.0701	4
CCT7	120	5.232041e-05	3.0555	4
UBA2	121	5.232041e-05	3.04688	4
IMP4	122	5.232041e-05	3.09967	4
RPL17	123	5.232041e-05	3.28575	4
GPN1	124	5.232041e-05	3.08366	4
ARMC7	125	5.232041e-05	3.02962	4
ISCU	126	5.232041e-05	3.15221	4
ATP6V0C	127	5.232041e-05	3.02416	4
PRC1	128	5.232041e-05	3.03282	4
TRMT5	129	5.232041e-05	3.05639	4
EIF6	130	5.232041e-05	3.00743	4
PPIAL4C	131	5.232041e-05	3.15496	4
RBM25	132	5.232041e-05	3.03862	4
GOLGA6L1	133	5.232041e-05	3.01305	4
VCP	134	5.232041e-05	3.04391	4
HNRNPC	135	5.232041e-05	3.59667	4
ELP3	136	5.232041e-05	3.02434	4
DCAF13	137	5.232041e-05	3.10878	4
RBBP4	138	5.232041e-05	3.06736	4
RPL5	139	5.232041e-05	3.12984	4
DTYMK	140	5.232041e-05	3.04135	4
HINFP	141	5.232041e-05	3.05215	4
TWNK	142	5.232041e-05	2.99858	4
PRMT1	143	5.232041e-05	2.98229	4
GFM1	144	5.232041e-05	3.2189	4
PHB	145	5.232041e-05	3.08571	4
RPS8	146	5.232041e-05	3.01586	4
EIF3E	147	5.232041e-05	2.98165	4
CCT4	148	5.232041e-05	2.97959	4
RPS24	149	5.232041e-05	2.98744	4
NAA25	150	5.232041e-05	2.99264	4
PCID2	151	5.232041e-05	3.15696	4
RPL15	152	5.232041e-05	3.532	4
USP17L24	153	5.232041e-05	2.99901	4
PGAM1	154	5.232041e-05	2.98164	4
DDX21	155	5.232041e-05	2.97328	4
YARS	156	5.232041e-05	2.94786	4
POLR1A	157	5.232041e-05	2.9552	4
UBA1	158	5.232041e-05	2.96287	4
TRRAP	159	5.232041e-05	3.03916	4
PNPT1	160	5.232041e-05	3.14776	4
UBL5	161	5.232041e-05	3.11902	4
SKA2	162	5.232041e-05	3.0383	4
PSMB1	163	5.232041e-05	2.9363	4
NOL9	164	5.232041e-05	2.92124	4
COPS6	165	5.232041e-05	2.95332	4
WDR18	166	5.232041e-05	2.94676	4
PRMT5	167	5.232041e-05	2.92095	4
GGPS1	168	5.232041e-05	3.00869	4
PHB2	169	5.232041e-05	2.92546	4
IPPK	170	5.232041e-05	2.95898	4
RPF2	171	5.232041e-05	2.97762	4
NOL6	172	5.232041e-05	3.02604	4
ANAPC11	173	5.232041e-05	2.90373	4
NUBP2	174	5.232041e-05	3.45637	4
RRM1	175	5.232041e-05	3.12707	4
RPL10A	176	5.232041e-05	2.93057	4
ABCB7	177	5.232041e-05	2.93955	4
CHAF1B	178	5.232041e-05	2.9074	4
TCP1	179	5.232041e-05	2.90122	4
ETF1	180	5.232041e-05	2.93161	4
AARS	181	5.232041e-05	3.09826	4
PSMA4	182	5.232041e-05	2.89262	4
RPS20	183	5.232041e-05	2.96601	4
KRR1	184	5.232041e-05	3.35339	4
AQR	185	5.232041e-05	2.89106	4
SEC61A1	186	5.232041e-05	2.91846	4
RPS9	187	5.232041e-05	3.13297	4
PRPF8	188	5.232041e-05	2.88665	4
SNRPD2	189	5.232041e-05	2.96347	4
RPS19	190	5.232041e-05	2.88883	4
IMP3	191	5.232041e-05	2.91581	4
FNTA	192	5.232041e-05	3.20311	4
EIF5	193	5.232041e-05	2.87201	4
YARS2	194	5.232041e-05	3.34144	4
KIF18A	195	5.232041e-05	2.95541	4
NMD3	196	5.232041e-05	2.90371	4
TUBB	197	5.232041e-05	2.87436	4
PSMB4	198	5.232041e-05	2.90471	4
RPS18	199	5.232041e-05	2.8576	4
ENO1	200	5.232041e-05	2.86161	4
RPS6	201	5.232041e-05	3.16222	4
RPL17-C18orf32	202	5.232041e-05	3.68429	4
EXOSC2	203	5.232041e-05	2.91182	4
TFAM	204	5.232041e-05	3.18272	4
RPL13	205	5.232041e-05	3.07316	4
ATP6V1E1	206	5.232041e-05	2.93505	4
FARSA	207	5.232041e-05	2.93682	4
NUP160	208	5.232041e-05	2.83264	4
MAT2A	209	5.232041e-05	2.88496	4
PRIM2	210	5.232041e-05	2.90471	4
NOP56	211	5.232041e-05	2.90644	4
PES1	212	5.232041e-05	2.86474	4
MFN2	213	5.232041e-05	2.82872	4
DNAJC8	214	5.232041e-05	2.81383	4
KARS	215	5.232041e-05	3.05162	4
IARS2	216	5.232041e-05	3.2318	4
RPL37	217	5.232041e-05	2.83538	4
GOSR2	218	5.232041e-05	2.86128	4
ERH	219	5.232041e-05	2.84662	4
ZNF626	220	5.232041e-05	2.88731	4
NPM1	221	5.232041e-05	2.97551	4
TUBA1B	222	5.232041e-05	2.88886	4
UTP4	223	5.232041e-05	3.30596	4
DKC1	224	5.232041e-05	2.82762	4
NCBP2	225	5.232041e-05	2.78772	4
RAE1	226	5.232041e-05	2.8302	4
PSMD4	227	5.232041e-05	2.78054	4
RPS10	228	5.232041e-05	2.93898	4
ELOB	229	5.232041e-05	2.97831	4
ADSL	230	5.232041e-05	2.7852	4
COASY	231	5.232041e-05	2.82719	4
DHX9	232	5.232041e-05	2.79554	4
GLRX5	233	5.232041e-05	2.76541	4
SSB	234	5.232041e-05	2.80344	4
CHD4	235	5.232041e-05	2.80038	4
VARS	236	5.232041e-05	2.78116	4
DDX10	237	5.232041e-05	2.75886	4
HSPA8	238	5.232041e-05	2.75115	4
LSM7	239	5.232041e-05	3.08745	4
EXOSC8	240	5.232041e-05	2.73781	4
NSA2	241	5.232041e-05	2.74172	4
GNL3	242	5.232041e-05	2.74485	4
EIF3B	243	5.232041e-05	2.73992	4
RPL32	244	5.232041e-05	2.76992	4
NAA15	245	5.232041e-05	2.72686	4
LRRC37A3	246	5.232041e-05	2.90411	4
TANGO6	247	5.232041e-05	2.8112	4
PSMD14	248	5.232041e-05	2.73315	4
GMPS	249	5.232041e-05	2.75825	4
TMED10	250	5.232041e-05	2.76268	4
DHX37	251	5.232041e-05	2.8034	4
SRSF7	252	5.232041e-05	2.76082	4
RPL8	253	5.232041e-05	2.7276	4
MARS2	254	5.232041e-05	2.74156	4
SRBD1	255	5.232041e-05	2.71756	4
TPI1	256	5.232041e-05	3.10848	4
POLD2	257	5.232041e-05	2.721	4
PARS2	258	5.232041e-05	2.76146	4
CYCS	259	5.232041e-05	2.70199	4
CFAP20	260	5.232041e-05	2.72061	4
BUD31	261	5.232041e-05	2.76884	4
MRPL13	262	5.232041e-05	2.83478	4
SAMM50	263	5.232041e-05	2.70098	4
WDR12	264	5.232041e-05	2.69569	4
MRPL11	265	5.232041e-05	2.8058	4
SRSF1	266	5.232041e-05	2.75217	4
SOD2	267	5.232041e-05	2.6795	4
SKIV2L2	268	5.232041e-05	2.71277	4
KIF11	269	5.232041e-05	2.71998	4
CSNK2B	270	5.232041e-05	2.67391	4
RPS16	271	5.232041e-05	2.6816	4
XRN1	272	5.232041e-05	2.73594	4
OGT	273	5.232041e-05	2.66889	4
SDHA	274	5.232041e-05	2.73562	4
MRPL44	275	5.232041e-05	2.68717	4
RTCB	276	5.232041e-05	3.11147	4
OXSM	277	5.232041e-05	2.76891	4
NEDD8	278	5.232041e-05	2.7129	4
GINS2	279	5.232041e-05	2.72405	4
COPS4	280	5.232041e-05	2.66783	4
TPRKB	281	5.232041e-05	2.68422	4
ILF3	282	5.232041e-05	2.66525	4
POLA2	283	5.232041e-05	2.69087	4
HDAC3	284	5.232041e-05	2.83734	4
TELO2	285	5.232041e-05	2.73527	4
EIF2S3	286	5.232041e-05	2.67994	4
WDHD1	287	5.232041e-05	2.64603	4
XAB2	288	5.232041e-05	2.6935	4
ACTL6A	289	5.232041e-05	2.74291	4
MVK	290	5.232041e-05	2.69292	4
GNL3L	291	5.232041e-05	2.63986	4
LARS2	292	5.232041e-05	2.70023	4
RPL7A	293	5.232041e-05	2.79112	4
POLR3A	294	5.232041e-05	3.18673	4
SMC6	295	5.232041e-05	2.74841	4
CDC16	296	5.232041e-05	2.62553	4
RPP30	297	5.232041e-05	2.97922	4
TIMM9	298	5.232041e-05	2.61101	4
RPLP2	299	5.232041e-05	2.62208	4
DAD1	300	5.232041e-05	2.82722	4
NOP2	301	5.232041e-05	2.61175	4
GPR89A	302	5.232041e-05	2.76348	4
SLC16A1	303	5.232041e-05	2.60526	4
SBDS	304	5.232041e-05	2.60608	4
RRP9	305	5.232041e-05	3.04763	4
RPL3	306	5.232041e-05	2.67227	4
GPI	307	5.232041e-05	2.59906	4
ARPC3	308	5.232041e-05	2.72335	4
EARS2	309	5.232041e-05	2.67672	4
NUP35	310	5.232041e-05	2.65567	4
SUPT16H	311	5.232041e-05	2.69464	4
MMS22L	312	5.232041e-05	2.63743	4
RCL1	313	5.232041e-05	2.62578	4
RAD51C	314	5.232041e-05	2.67486	4
UTP18	315	5.232041e-05	2.6531	4
MED4	316	5.232041e-05	2.63938	4
VPS25	317	5.232041e-05	2.86259	4
RPS12	318	5.232041e-05	3.12442	4
MMS19	319	5.232041e-05	2.89255	4
SLU7	320	5.232041e-05	2.81981	4
TRAPPC1	321	5.232041e-05	2.68487	4
PSMD7	322	5.232041e-05	2.61944	4
NCBP1	323	5.232041e-05	2.68424	4
NUF2	324	5.232041e-05	2.58133	4
EIF2B5	325	5.232041e-05	2.6937	4
EPRS	326	5.232041e-05	3.02912	4
SUPV3L1	327	5.232041e-05	2.83381	4
PYROXD1	328	5.232041e-05	2.59487	4
TP53RK	329	5.232041e-05	2.59039	4
XRCC3	330	5.232041e-05	2.61848	4
MRPL15	331	5.232041e-05	2.60599	4
POLR2I	332	5.232041e-05	3.15825	4
PRPF40A	333	5.232041e-05	2.76779	4
NDOR1	334	5.232041e-05	2.56254	4
TRAIP	335	5.232041e-05	2.59721	4
RBM8A	336	5.232041e-05	2.55391	4
RACK1	337	5.232041e-05	2.5852	4
DDX18	338	5.232041e-05	2.80454	4
ABCF1	339	5.232041e-05	2.58416	4
ATP2A2	340	5.232041e-05	2.55304	4
FCF1	341	5.232041e-05	2.55856	4
CIAO1	342	5.232041e-05	2.60759	4
EEF1G	343	5.232041e-05	2.55947	4
ACTR1A	344	5.232041e-05	2.54198	4
RTF1	345	5.232041e-05	2.84681	4
NELFCD	346	5.232041e-05	2.53799	4
WDR46	347	5.232041e-05	2.69044	4
USP7	348	5.232041e-05	2.53209	4
U2SURP	349	5.232041e-05	2.6647	4
BTF3	350	5.232041e-05	2.78376	4
POLG2	351	5.232041e-05	2.54062	4
KIF23	352	5.232041e-05	2.5296	4
PTPMT1	353	5.232041e-05	2.68967	4
PSMC3	354	5.232041e-05	2.59012	4
USP37	355	5.232041e-05	2.52806	4
PPP2R1A	356	5.232041e-05	2.55881	4
TIMELESS	357	5.232041e-05	2.5098	4
HSPA5	358	5.232041e-05	2.53473	4
URB2	359	5.232041e-05	2.49749	4
SF3B5	360	5.232041e-05	2.65425	4
PPIL4	361	5.232041e-05	2.59309	4
RHEB	362	5.232041e-05	2.52972	4
LAMTOR3	363	5.232041e-05	2.82627	4
PUF60	364	5.232041e-05	2.66157	4
TAF2	365	5.232041e-05	2.5222	4
SF3B3	366	5.232041e-05	2.48553	4
EED	367	5.232041e-05	2.60982	4
RPS28	368	5.232041e-05	2.49472	4
CLTC	369	5.232041e-05	2.55753	4
INO80	370	5.232041e-05	2.59474	4
CENPM	371	5.232041e-05	2.55662	4
TICRR	372	5.232041e-05	2.86896	4
GART	373	5.232041e-05	2.46216	4
NEDD4L	374	5.232041e-05	2.58425	4
RPL36	375	5.232041e-05	2.503	4
RPA1	376	5.232041e-05	2.49745	4
GTF2B	377	5.232041e-05	2.50571	4
VRK1	378	5.232041e-05	2.58993	4
COG3	379	5.232041e-05	2.47603	4
SEPT7	380	5.232041e-05	2.46503	4
WDR5	381	5.232041e-05	2.69153	4
NACA	382	5.232041e-05	2.45545	4
BRAF	383	5.232041e-05	2.45336	4
BRF1	384	5.232041e-05	2.45878	4
ZRSR2	385	5.232041e-05	2.45966	4
LSM11	386	5.232041e-05	2.64852	4
PMPCA	387	5.232041e-05	2.4716	4
CCNB1	388	5.232041e-05	2.5775	4
DOHH	389	5.232041e-05	2.45193	4
HSCB	390	5.232041e-05	2.46757	4
GINS1	391	5.232041e-05	2.49331	4
PAK1IP1	392	5.232041e-05	2.44577	4
FDXR	393	5.232041e-05	2.43875	4
POLR3K	394	5.232041e-05	2.84189	4
NUP155	395	5.232041e-05	2.54947	4
MOB4	396	5.232041e-05	2.4621	4
EIF4E	397	5.232041e-05	2.51692	4
TFRC	398	5.232041e-05	2.42444	4
NCAPG2	399	5.232041e-05	2.43868	4
FARS2	400	5.232041e-05	2.4397	4
SPDYE6	401	5.232041e-05	2.56937	4
OPA1	402	5.232041e-05	2.43774	4
PLK1	403	5.232041e-05	2.40538	4
DIS3	404	5.232041e-05	2.43009	4
RPL24	405	5.232041e-05	2.45043	4
ECD	406	5.232041e-05	2.44328	4
INTS6	407	5.232041e-05	3.00755	4
ZPR1	408	5.232041e-05	2.48756	4
UBE2L3	409	5.232041e-05	2.50529	4
EIF2B2	410	5.232041e-05	2.70123	4
TIMM10	411	5.232041e-05	2.64193	4
TBCD	412	5.232041e-05	2.73048	4
TBC1D3D	413	5.232041e-05	2.45313	4
DDX54	414	5.232041e-05	2.84924	4
RNGTT	415	5.232041e-05	2.82354	4
LUC7L3	416	5.232041e-05	2.61071	4
RBX1	417	5.232041e-05	2.40849	4
ABHD11	418	5.232041e-05	2.39447	4
NARFL	419	5.232041e-05	2.41502	4
METTL16	420	5.232041e-05	2.69405	4
EIF2B3	421	5.232041e-05	2.5182	4
TARS2	422	5.232041e-05	2.3728	4
THAP1	423	5.232041e-05	2.37403	4
WDR36	424	5.232041e-05	2.53242	4
CKAP5	425	5.232041e-05	2.43007	4
DDX23	426	5.232041e-05	2.42293	4
PDRG1	427	5.232041e-05	2.46928	4
SKP1	428	5.232041e-05	2.44137	4
SEC13	429	5.232041e-05	2.36758	4
EIF3D	430	5.232041e-05	2.37875	4
ATP6V1D	431	5.232041e-05	2.36283	4
NIFK	432	5.232041e-05	2.41487	4
MPHOSPH10	433	5.232041e-05	2.39187	4
CHTF8	434	5.232041e-05	2.57069	4
EP400	435	5.232041e-05	2.40136	4
NUDT21	436	5.232041e-05	2.35733	4
DDX42	437	5.232041e-05	2.36053	4
PAFAH1B1	438	5.232041e-05	2.98002	4
ISCA2	439	5.232041e-05	2.40941	4
ZMAT2	440	5.232041e-05	2.3659	4
VMP1	441	5.232041e-05	2.51408	4
LSM5	442	5.232041e-05	2.37033	4
LSM10	443	5.232041e-05	2.39001	4
PSMC5	444	5.232041e-05	2.44774	4
NOP16	445	5.232041e-05	2.38367	4
MAPK1	446	5.232041e-05	2.34116	4
CCT2	447	5.232041e-05	2.46634	4
TAMM41	448	5.232041e-05	2.80404	4
POLR2K	449	5.232041e-05	2.79133	4
ANAPC1	450	5.232041e-05	2.32347	4
SPATA5L1	451	5.232041e-05	2.41331	4
CTDP1	452	5.232041e-05	2.46971	4
PRIM1	453	5.232041e-05	2.39254	4
AP2M1	454	5.232041e-05	2.31989	4
PSMB3	455	5.232041e-05	2.33247	4
PLK4	456	5.232041e-05	2.37691	4
PSMC4	457	5.232041e-05	2.37043	4
MRPS27	458	5.232041e-05	2.36649	4
AP2S1	459	5.232041e-05	2.30695	4
PSMD2	460	5.232041e-05	2.44664	4
POLRMT	461	5.232041e-05	2.32797	4
SPC25	462	5.232041e-05	2.42562	4
CSTF3	463	5.232041e-05	2.30992	4
NAE1	464	5.232041e-05	2.35803	4
MRPS18B	465	5.232041e-05	2.40632	4
SFPQ	466	5.232041e-05	3.13001	4
EIF3CL	467	5.232041e-05	2.31745	4
RBM22	468	5.232041e-05	2.7108	4
GINS3	469	5.232041e-05	2.36739	4
FIP1L1	470	5.232041e-05	2.35639	4
BANF1	471	5.232041e-05	2.36643	4
MIS18BP1	472	5.232041e-05	2.29165	4
MRPS25	473	5.232041e-05	2.41067	4
GNL2	474	5.232041e-05	2.29701	4
C1orf109	475	5.232041e-05	2.55217	4
PGGT1B	476	5.232041e-05	2.30405	4
SNRNP35	477	5.232041e-05	2.46736	4
RECQL4	478	5.232041e-05	2.67231	4
POLR1E	479	5.232041e-05	2.4156	4
SPOUT1	480	5.232041e-05	2.2917	4
UQCRB	481	5.232041e-05	2.35907	4
TXN	482	5.232041e-05	2.37947	4
CMTR1	483	5.232041e-05	2.28295	4
RARS2	484	5.232041e-05	2.32215	4
PSMG1	485	5.232041e-05	2.30813	4
CSE1L	486	5.232041e-05	2.53785	4
CENPK	487	5.232041e-05	2.42706	4
MOCS3	488	5.232041e-05	2.27943	4
TBC1D3I	489	5.232041e-05	2.73646	4
RAD1	490	5.232041e-05	2.26003	4
WDR73	491	5.232041e-05	2.54096	4
CEBPZ	492	5.232041e-05	2.58252	4
CDIPT	493	5.232041e-05	2.32558	4
EIF2S2	494	5.232041e-05	2.32568	4
TRAPPC11	495	5.232041e-05	2.2806	4
UTP20	496	5.232041e-05	2.41974	4
DDX55	497	5.232041e-05	2.33002	4
HSPA14	498	5.232041e-05	2.33593	4
PTCD3	499	5.232041e-05	2.24849	4
DDX20	500	5.232041e-05	2.48668	4
MRPL51	501	5.232041e-05	2.23703	4
NUP98	502	5.232041e-05	2.40851	4
CENPW	503	5.232041e-05	2.33566	4
TARDBP	504	5.232041e-05	2.33494	4
DDX52	505	5.232041e-05	2.24472	4
SNW1	506	5.232041e-05	2.35487	4
NOC4L	507	5.232041e-05	2.24652	4
PMVK	508	5.232041e-05	2.25541	4
UGP2	509	5.232041e-05	2.30788	4
RPL26	510	5.232041e-05	2.27291	4
OGDH	511	5.232041e-05	2.41423	4
HSPE1-MOB4	512	5.232041e-05	2.22391	4
USO1	513	5.232041e-05	2.38804	4
PSMD3	514	5.232041e-05	2.25438	4
ELOC	515	5.232041e-05	2.22025	4
UMPS	516	5.232041e-05	2.22108	4
IDH3A	517	5.232041e-05	2.30591	4
ILF2	518	5.232041e-05	2.32505	4
NUP93	519	5.232041e-05	2.3932	4
RPS21	520	5.232041e-05	2.21156	4
TBC1D3K	521	5.232041e-05	2.25652	4
MTG1	522	5.232041e-05	2.20869	4
HNRNPH1	523	5.232041e-05	2.20528	4
XPO5	524	5.232041e-05	2.25262	4
POLR2D	525	5.232041e-05	2.35579	4
BCS1L	526	5.232041e-05	2.20555	4
TUBGCP2	527	5.232041e-05	2.45528	4
NIP7	528	5.232041e-05	2.20176	4
SEC61G	529	5.232041e-05	2.17955	4
SF3B6	530	5.232041e-05	2.27101	4
LSM4	531	5.232041e-05	2.40736	4
GTF2A2	532	5.232041e-05	2.23214	4
PSMD6	533	5.232041e-05	2.19357	4
MCMBP	534	5.232041e-05	2.1821	4
CHMP4B	535	5.232041e-05	2.28216	4
BUD23	536	5.232041e-05	2.32554	4
WDR3	537	5.232041e-05	2.22535	4
COPB2	538	5.232041e-05	2.20605	4
RANGAP1	539	5.232041e-05	2.26392	4
PTPA	540	5.232041e-05	2.40367	4
PSMB5	541	5.232041e-05	2.32788	4
ZMAT5	542	5.232041e-05	2.21866	4
RPS11	543	5.232041e-05	2.24081	4
CDC45	544	5.232041e-05	2.18489	4
SF3B4	545	5.232041e-05	2.62118	4
DNM1L	546	5.232041e-05	2.22703	4
C12orf45	547	5.232041e-05	2.2744	4
EXOSC4	548	5.232041e-05	2.46461	4
COX16	549	5.232041e-05	2.2114	4
DDX46	550	5.232041e-05	2.15889	4
RPL38	551	5.232041e-05	2.40983	4
ATP6V1C1	552	5.232041e-05	2.22617	4
TBC1D3C	553	5.232041e-05	2.18545	4
VPS51	554	5.232041e-05	2.15218	4
RSL1D1	555	5.232041e-05	2.14735	4
SLC30A9	556	5.232041e-05	2.14617	4
TAF1C	557	5.232041e-05	2.32001	4
CHCHD4	558	5.232041e-05	2.14519	4
POLR3H	559	5.232041e-05	2.1845	4
AARS2	560	5.232041e-05	2.57342	4
YAE1D1	561	5.232041e-05	2.17933	4
ELAVL1	562	5.232041e-05	2.13118	4
TUBGCP4	563	5.232041e-05	2.31421	4
DNM2	564	5.232041e-05	2.12447	4
ELOF1	565	5.232041e-05	2.23841	4
COPB1	566	5.232041e-05	2.16815	4
CHEK1	567	5.232041e-05	2.74208	4
ADAR	568	5.232041e-05	2.22174	4
GTF3C3	569	5.232041e-05	2.15325	4
XRN2	570	5.232041e-05	2.26138	4
MDN1	571	5.232041e-05	2.12256	4
ANAPC5	572	5.232041e-05	2.11596	4
CTU2	573	5.232041e-05	2.13647	4
TRNT1	574	5.232041e-05	2.7499	4
QRSL1	575	5.232041e-05	2.37498	4
LAMTOR2	576	5.232041e-05	2.17924	4
DHDDS	577	5.232041e-05	2.21768	4
NHP2	578	5.232041e-05	2.27129	4
VPS13D	579	5.232041e-05	2.12652	4
HAUS5	580	5.232041e-05	2.21422	4
PFDN1	581	5.232041e-05	2.12457	4
TSFM	582	5.232041e-05	2.38386	4
NHLRC2	583	5.232041e-05	2.09733	4
IMPDH2	584	5.232041e-05	2.42482	4
RPL9	585	5.232041e-05	3.17239	4
UXT	586	5.232041e-05	2.39873	4
PAICS	587	5.232041e-05	2.15367	4
RPUSD4	588	5.232041e-05	2.18556	4
CCDC84	589	5.232041e-05	2.49111	4
USP1	590	5.232041e-05	2.09235	4
HUWE1	591	5.232041e-05	2.11733	4
WRB	592	5.232041e-05	2.11558	4
MRTO4	593	5.232041e-05	2.08791	4
CDC20	594	5.232041e-05	2.25532	4
URI1	595	5.232041e-05	2.16589	4
ATP5E	596	5.232041e-05	2.09547	4
SRSF3	597	5.232041e-05	2.52324	4
CDC42	598	5.232041e-05	2.18036	4
AHCTF1	599	5.232041e-05	2.128	4
GTF3C4	600	5.232041e-05	2.27067	4
ATP6V1G1	601	5.232041e-05	2.23548	4
GPR89B	602	5.232041e-05	2.10127	4
PRPF38A	603	5.232041e-05	2.33239	4
TUBGCP3	604	5.232041e-05	2.11322	4
TUBD1	605	5.232041e-05	2.08305	4
NUP58	606	5.232041e-05	2.06514	4
NOP14	607	5.232041e-05	2.36486	4
SAE1	608	5.232041e-05	2.11506	4
NOC2L	609	5.232041e-05	2.36214	4
ANAPC10	610	5.232041e-05	2.28043	4
MRPS9	611	5.232041e-05	2.05883	4
MRPS22	612	5.232041e-05	2.12344	4
PDPK1	613	5.232041e-05	2.873	4
MRPS5	614	5.232041e-05	2.519	4
CDC73	615	5.232041e-05	2.0842	4
