gene	rank	fdr	effect_size	#_active_guide-RNA
SCFD1	68	5.291565e-05	1.96134	3
DDX41	69	5.291565e-05	1.99336	3
UPF1	70	5.291565e-05	1.95042	3
MIS18A	71	5.291565e-05	2.02086	3
SNRNP25	72	5.291565e-05	2.06454	3
HSD17B10	73	5.291565e-05	1.96717	3
WDR36	74	5.291565e-05	1.97316	3
NUTF2	75	5.291565e-05	1.94486	3
E4F1	76	5.291565e-05	2.00824	3
POLR2K	77	5.291565e-05	2.11125	3
EXOC2	78	5.291565e-05	2.07081	3
DKC1	79	5.291565e-05	2.1086	3
DDX1	80	5.291565e-05	1.9688	3
BIRC5	81	5.291565e-05	2.00733	3
EPHB4	82	5.291565e-05	2.05389	3
USP37	83	5.291565e-05	2.13292	3
EP400	84	5.291565e-05	1.94419	3
EIF2B5	85	5.291565e-05	1.94421	3
PTPN23	86	5.291565e-05	1.93341	3
ZBTB11	87	5.291565e-05	1.96645	3
HSPA9	88	5.291565e-05	1.95173	3
CPSF2	89	5.291565e-05	1.92669	3
PI4KA	90	5.291565e-05	2.03522	3
RPP30	91	5.291565e-05	1.92461	3
EIF3M	92	5.291565e-05	1.92646	3
SMU1	93	5.291565e-05	2.04021	3
BOD1L1	94	5.291565e-05	1.92134	3
ANAPC1	95	5.291565e-05	1.95553	3
DSCC1	96	5.291565e-05	1.92639	3
POLR1A	97	5.291565e-05	1.97503	3
LONP1	98	5.291565e-05	1.91643	3
NDOR1	99	5.291565e-05	1.97013	3
ACTR1A	100	5.291565e-05	1.90415	3
NEDD8	101	5.291565e-05	2.03679	3
MIPEP	102	5.291565e-05	1.89487	3
HNRNPC	103	5.291565e-05	1.95719	3
XPO1	104	5.291565e-05	2.10558	3
ATP6V1A	105	5.291565e-05	1.9249	3
RBM8A	106	5.291565e-05	1.89423	3
EIF5A	107	5.291565e-05	1.90158	3
NUP98	108	5.291565e-05	1.96729	3
RPS11	109	5.291565e-05	1.88828	3
SURF6	110	5.291565e-05	1.88748	3
RPS29	111	5.291565e-05	1.88675	3
PGS1	112	5.291565e-05	1.89295	3
SF3A2	113	5.291565e-05	2.04801	3
ARCN1	114	5.291565e-05	1.90748	3
TP53RK	115	5.291565e-05	1.94703	3
COPA	116	5.291565e-05	1.8931	3
RRP36	117	5.291565e-05	1.8778	3
TRNT1	118	5.291565e-05	1.92741	3
COG2	119	5.291565e-05	1.87653	3
LRPPRC	120	5.291565e-05	1.8915	3
ARL2	121	5.291565e-05	1.89597	3
CSE1L	122	5.291565e-05	1.89372	3
PPIL2	123	5.291565e-05	1.91168	3
EXOC5	124	5.291565e-05	1.87319	3
EIF1AX	125	5.291565e-05	1.94152	3
IARS2	126	5.291565e-05	1.87183	3
GTF3C6	127	5.291565e-05	1.97	3
CFAP20	128	5.291565e-05	1.95411	3
SF3B5	129	5.291565e-05	1.90324	3
TANGO6	130	5.291565e-05	1.92368	3
MNAT1	131	5.291565e-05	1.87623	3
DERL2	132	5.291565e-05	1.91311	3
TTC27	133	5.291565e-05	1.96333	3
EIF4G2	134	5.291565e-05	1.86745	3
VPS33A	135	5.291565e-05	1.86719	3
CTC1	136	5.291565e-05	1.88517	3
RRM1	137	5.291565e-05	1.85681	3
RBM17	138	5.291565e-05	1.87024	3
RPLP2	139	5.291565e-05	1.88028	3
WDHD1	140	5.291565e-05	1.9315	3
FAM149B1	141	5.291565e-05	1.93655	3
TOMM40	142	5.291565e-05	1.92864	3
TRMT5	143	5.291565e-05	1.85401	3
FNTB	144	5.291565e-05	1.86163	3
TFRC	145	5.291565e-05	1.86838	3
SF3A1	146	5.291565e-05	1.88063	3
RPAP1	147	5.291565e-05	1.94066	3
SYMPK	148	5.291565e-05	1.89234	3
VCP	149	5.291565e-05	1.86551	3
HMGCR	150	5.291565e-05	2.00054	3
ISG20L2	151	5.291565e-05	1.87343	3
SLC25A10	152	5.291565e-05	1.8789	3
DHX37	153	5.291565e-05	1.92055	3
DHDDS	154	5.291565e-05	1.90872	3
EIF3D	155	5.291565e-05	1.90071	3
NKAP	156	5.291565e-05	1.9519	3
RBM10	157	5.291565e-05	1.8179	3
GFM1	158	5.291565e-05	1.82839	3
WWTR1	159	5.291565e-05	1.81915	3
SYF2	160	5.291565e-05	1.86135	3
MRPL37	161	5.291565e-05	1.86923	3
ELP3	162	5.291565e-05	1.82562	3
UNC45A	163	5.291565e-05	1.86359	3
TREX2	164	5.291565e-05	1.82047	3
VPS18	165	5.291565e-05	1.82048	3
CCT6A	166	5.291565e-05	1.90136	3
RNF20	167	5.291565e-05	1.81162	3
BARD1	168	5.291565e-05	1.82835	3
SUPT5H	169	5.291565e-05	1.85052	3
CENPE	170	5.291565e-05	1.82375	3
LTV1	171	5.291565e-05	2.00992	3
WDR18	172	5.291565e-05	1.85043	3
MRPL55	173	5.291565e-05	1.99792	3
BUD13	174	5.291565e-05	1.81712	3
MARS	175	5.291565e-05	1.81065	3
KIAA0586	176	5.291565e-05	1.82689	3
UVRAG	177	5.291565e-05	1.87961	3
RFC2	178	5.291565e-05	1.82993	3
RBM19	179	5.291565e-05	1.85482	3
SNRPG	180	5.291565e-05	1.86746	3
BUB1	181	5.291565e-05	1.80419	3
RBM28	182	5.291565e-05	1.88835	3
RPL12	183	5.291565e-05	1.9265	3
MRPS17	184	5.291565e-05	1.83073	3
MRPL46	185	5.291565e-05	1.80872	3
FLII	186	5.291565e-05	1.79905	3
RAD50	187	5.291565e-05	1.8046	3
ATIC	188	5.291565e-05	1.94112	3
FNTA	189	5.291565e-05	2.0041	3
DDB1	190	5.291565e-05	1.8333	3
TCP1	191	5.291565e-05	1.82423	3
EBNA1BP2	192	5.291565e-05	1.8631	3
PGD	193	5.291565e-05	1.84965	3
PLRG1	194	5.291565e-05	1.8022	3
MED6	195	5.291565e-05	1.84594	3
NUP153	196	5.291565e-05	1.81302	3
LAMTOR3	197	5.291565e-05	1.79449	3
RNF113A	198	5.291565e-05	1.82087	3
WDR7	199	5.291565e-05	1.84536	3
SRRT	200	5.291565e-05	1.86348	3
OXSM	201	5.291565e-05	1.8041	3
NUP85	202	5.291565e-05	1.83792	3
MEMO1	203	5.291565e-05	1.82811	3
PPP1R2	204	5.291565e-05	1.82345	3
CAMLG	205	5.291565e-05	1.78444	3
RRM2	206	5.291565e-05	1.90257	3
PTPA	207	5.291565e-05	1.82746	3
ZWINT	208	5.291565e-05	1.87694	3
ATP6V1C1	209	5.291565e-05	1.83658	3
SF3B6	210	5.291565e-05	1.77751	3
ATXN10	211	5.291565e-05	1.84456	3
RPL34	212	5.291565e-05	1.95288	3
PRPF6	213	5.291565e-05	1.78812	3
COG4	214	5.291565e-05	1.78069	3
CHMP6	215	5.291565e-05	1.87399	3
DGCR14	216	5.291565e-05	1.80658	3
ACTR2	217	5.291565e-05	1.80775	3
SEC61B	218	5.291565e-05	1.80063	3
RPA2	219	5.291565e-05	1.77968	3
PLK1	220	5.291565e-05	1.79217	3
PSMB7	221	5.291565e-05	1.84857	3
CDC16	222	5.291565e-05	1.80735	3
SDHB	223	5.291565e-05	1.77694	3
EIF3A	224	5.291565e-05	1.84278	3
COPB2	225	5.291565e-05	1.85163	3
DHODH	226	5.291565e-05	1.76488	3
SRBD1	227	5.291565e-05	1.81842	3
C8orf59	228	5.291565e-05	1.89249	3
ATP1A1	229	5.291565e-05	1.88057	3
RPL30	230	5.291565e-05	1.75901	3
NCL	231	5.291565e-05	1.80828	3
ZC3H8	232	5.291565e-05	1.75997	3
CENPH	233	5.291565e-05	1.77411	3
TAF8	234	5.291565e-05	1.78134	3
DDX47	235	5.291565e-05	1.91769	3
YEATS4	236	5.291565e-05	1.77581	3
SEM1	237	5.291565e-05	1.76642	3
U2AF1	238	5.291565e-05	1.79582	3
BCCIP	239	5.291565e-05	1.75931	3
SPCS3	240	5.291565e-05	1.78475	3
RPSA	241	5.291565e-05	1.77931	3
MEAF6	242	5.291565e-05	1.78643	3
RFC5	243	5.291565e-05	1.75162	3
FARSB	244	5.291565e-05	1.75104	3
BRCA1	245	5.291565e-05	1.75833	3
HJURP	246	5.291565e-05	1.76028	3
PNPT1	247	5.291565e-05	1.75309	3
MED30	248	5.291565e-05	1.79101	3
USP39	249	5.291565e-05	1.759	3
INTS3	250	5.291565e-05	1.79237	3
EIF4E	251	5.291565e-05	1.77716	3
HYPK	252	5.291565e-05	1.78871	3
SSB	253	5.291565e-05	1.74417	3
TAF1C	254	5.291565e-05	1.78342	3
RPL39	255	5.291565e-05	1.84279	3
RBM42	256	5.291565e-05	1.78804	3
PPCS	257	5.291565e-05	1.73868	3
WDR77	258	5.291565e-05	1.7722	3
GINS3	259	5.291565e-05	1.75598	3
SNRNP35	260	5.291565e-05	1.73703	3
SGO1	261	5.291565e-05	1.74428	3
UMPS	262	5.291565e-05	1.94595	3
POP4	263	5.291565e-05	1.73362	3
UTP14C	264	5.291565e-05	1.76918	3
SOD1	265	5.291565e-05	1.73109	3
CDCA8	266	5.291565e-05	1.82056	3
NMD3	267	5.291565e-05	1.76064	3
CEP55	268	5.291565e-05	1.74724	3
GPN2	269	5.291565e-05	1.74592	3
ADAT2	270	5.291565e-05	1.79679	3
PDCD11	271	5.291565e-05	1.92642	3
POLR2C	272	5.291565e-05	1.72683	3
RPS20	273	5.291565e-05	1.75507	3
TMA16	274	5.291565e-05	1.74343	3
PSMD4	275	5.291565e-05	1.75715	3
EFTUD2	276	5.291565e-05	1.78256	3
SOX10	277	5.291565e-05	1.73541	3
SRP72	278	5.291565e-05	1.7214	3
NUP214	279	5.291565e-05	1.82571	3
SNRPF	280	5.291565e-05	1.71632	3
UQCRC1	281	5.291565e-05	1.71716	3
ANAPC4	282	5.291565e-05	1.82475	3
C19orf53	283	5.291565e-05	1.78033	3
PPA1	284	5.291565e-05	1.72517	3
MED21	285	5.291565e-05	1.83426	3
PRPF4	286	5.291565e-05	1.71186	3
ANAPC2	287	5.291565e-05	1.74724	3
NDUFAB1	288	5.291565e-05	1.83761	3
PSMD1	289	5.291565e-05	1.82694	3
COPZ1	290	5.291565e-05	1.73811	3
TRAPPC5	291	5.291565e-05	1.72575	3
SRP19	292	5.291565e-05	1.73827	3
LYRM4	293	5.291565e-05	2.03697	3
PMPCA	294	5.291565e-05	1.71172	3
ELP4	295	5.291565e-05	1.76219	3
SMC2	296	5.291565e-05	1.99702	3
AARS2	297	5.291565e-05	1.76051	3
NOC3L	298	5.291565e-05	1.74792	3
GTF3C1	299	5.291565e-05	1.73623	3
EEF1G	300	5.291565e-05	1.71897	3
RCL1	301	5.291565e-05	1.74261	3
CTU2	302	5.291565e-05	1.70668	3
NDUFA2	303	5.291565e-05	1.79057	3
CCNA2	304	5.291565e-05	1.83719	3
MRPS15	305	5.291565e-05	1.70371	3
VEZF1	306	5.291565e-05	1.71894	3
HMGCS1	307	5.291565e-05	1.71074	3
ATP6V1B2	308	5.291565e-05	1.70334	3
EIF5B	309	5.291565e-05	1.72328	3
GEMIN8	310	5.291565e-05	1.70088	3
MDM2	311	5.291565e-05	1.88181	3
DRD2	312	5.291565e-05	1.7552	3
MOB4	313	5.291565e-05	1.71316	3
TTC1	314	5.291565e-05	1.69821	3
RARS	315	5.291565e-05	1.71984	3
VMP1	316	5.291565e-05	1.90286	3
CCT7	317	5.291565e-05	1.69197	3
TRAPPC11	318	5.291565e-05	1.72657	3
PRPF19	319	5.291565e-05	1.80739	3
NOP2	320	5.291565e-05	1.70457	3
RECQL4	321	5.291565e-05	1.72852	3
XRCC2	322	5.291565e-05	1.74065	3
POLR1C	323	5.291565e-05	1.69972	3
LAMTOR5	324	5.291565e-05	1.73585	3
NOP10	325	5.291565e-05	1.76115	3
DCTN5	326	5.291565e-05	1.68576	3
IMP4	327	5.291565e-05	1.73396	3
UTP6	328	5.291565e-05	1.76195	3
HAUS1	329	5.291565e-05	1.74695	3
DNTTIP2	330	5.291565e-05	1.7399	3
SMG6	331	5.291565e-05	1.70162	3
SRSF1	332	5.291565e-05	1.69618	3
RRP15	333	5.291565e-05	1.74306	3
RPF2	334	5.291565e-05	1.69811	3
FDX1L	335	5.291565e-05	1.68126	3
TLN1	336	5.291565e-05	1.71026	3
GFER	337	5.291565e-05	1.78286	3
NUP107	338	5.291565e-05	1.73242	3
RPL32	339	5.291565e-05	1.69672	3
SAP30BP	340	5.291565e-05	1.69491	3
SNUPN	341	5.291565e-05	1.78851	3
PSMB1	342	5.291565e-05	1.76312	3
TBCC	343	5.291565e-05	1.69867	3
NAE1	344	5.291565e-05	1.68894	3
TWNK	345	5.291565e-05	1.74454	3
BOP1	346	5.291565e-05	1.71513	3
BRIX1	347	5.291565e-05	1.68389	3
VBP1	348	5.291565e-05	1.73323	3
TAMM41	349	5.291565e-05	1.67382	3
MVD	350	5.291565e-05	1.75877	3
TBCA	351	5.291565e-05	1.69585	3
MPHOSPH10	352	5.291565e-05	1.6767	3
CHORDC1	353	5.291565e-05	1.71128	3
GINS1	354	5.291565e-05	1.69067	3
MRPL38	355	5.291565e-05	1.67856	3
SNAPC2	356	5.291565e-05	1.67044	3
BMS1	357	5.291565e-05	1.90464	3
HSP90B1	358	5.291565e-05	1.75564	3
SEPT7	359	5.291565e-05	1.70606	3
VPS37A	360	5.291565e-05	1.66696	3
CDC5L	361	5.291565e-05	1.68556	3
NSRP1	362	5.291565e-05	1.6959	3
GOLT1B	363	5.291565e-05	1.74051	3
USP5	364	5.291565e-05	1.67061	3
KIN	365	5.291565e-05	1.69917	3
POP5	366	5.291565e-05	1.67468	3
VPS16	367	5.291565e-05	1.67292	3
SPC25	368	5.291565e-05	1.68088	3
MRPS26	369	5.291565e-05	1.73478	3
CKAP5	370	5.291565e-05	1.66433	3
NOL6	371	5.291565e-05	1.88358	3
RTTN	372	5.291565e-05	1.66145	3
PPP2R1A	373	5.291565e-05	1.68715	3
SDHA	374	5.291565e-05	1.67312	3
INTS7	375	5.291565e-05	1.71027	3
FCF1	376	5.291565e-05	1.6741	3
RPS14	377	5.291565e-05	1.65695	3
TTI2	378	5.291565e-05	1.68721	3
MED8	379	5.291565e-05	1.66835	3
LSG1	380	5.291565e-05	1.73217	3
WARS2	381	5.291565e-05	1.84681	3
TIMM44	382	5.291565e-05	1.66056	3
SNRNP27	383	5.291565e-05	1.65028	3
CDK9	384	5.291565e-05	1.65708	3
SHANK1	385	5.291565e-05	1.65973	3
MED11	386	5.291565e-05	1.64747	3
TICRR	387	5.291565e-05	1.6911	3
PSMA6	388	5.291565e-05	1.73291	3
CXXC1	389	5.291565e-05	1.69766	3
COPS8	390	5.291565e-05	1.6791	3
DARS	391	5.291565e-05	1.74535	3
AARS	392	5.291565e-05	1.7079	3
SRSF3	393	5.291565e-05	1.67078	3
LSM8	394	5.291565e-05	1.78643	3
TONSL	395	5.291565e-05	1.64006	3
SEC61A1	396	5.291565e-05	1.66825	3
RAN	397	5.291565e-05	1.68449	3
MED18	398	5.291565e-05	1.66644	3
MTBP	399	5.291565e-05	1.64606	3
POLA1	400	5.291565e-05	1.69811	3
TAF2	401	5.291565e-05	1.64057	3
DLST	402	5.291565e-05	1.644	3
NEFL	403	5.291565e-05	1.64261	3
ZNF335	404	5.291565e-05	1.68719	3
PSMB6	405	5.291565e-05	1.70102	3
ORC5	406	5.291565e-05	1.66838	3
MED17	407	5.291565e-05	1.63974	3
MRPL33	408	5.291565e-05	1.65788	3
CFAP61	409	5.291565e-05	1.66576	3
SART1	410	5.291565e-05	1.72453	3
WDR55	411	5.291565e-05	1.64811	3
MED9	412	5.291565e-05	1.65142	3
GINS4	413	5.291565e-05	1.6525	3
RPL9	414	5.291565e-05	1.63284	3
AQR	415	5.291565e-05	1.63856	3
RRP7A	416	5.291565e-05	1.62991	3
EIF3B	417	5.291565e-05	1.62888	3
ZCCHC9	418	5.291565e-05	1.69558	3
GGPS1	419	5.291565e-05	1.65215	3
DUT	420	5.291565e-05	1.63423	3
PGK1	421	5.291565e-05	1.62729	3
TNPO3	422	5.291565e-05	1.62886	3
RPL35	423	5.291565e-05	1.64231	3
PHAX	424	5.291565e-05	1.63935	3
ABT1	425	5.291565e-05	1.6384	3
CDT1	426	5.291565e-05	1.66327	3
VPS28	427	5.291565e-05	1.73119	3
RPS5	428	5.291565e-05	1.65691	3
DYNC1I2	429	5.291565e-05	1.66826	3
MOCS3	430	5.291565e-05	1.64557	3
PDGFRA	431	5.291565e-05	1.79054	3
DIMT1	432	5.291565e-05	1.62245	3
RPL15	433	5.291565e-05	1.65337	3
PSMG1	434	5.291565e-05	1.63263	3
KMT2A	435	5.291565e-05	1.65218	3
INTS5	436	5.291565e-05	1.72012	3
EIF2B4	437	5.291565e-05	1.61933	3
DCTN6	438	5.291565e-05	1.62141	3
INTS8	439	5.291565e-05	1.63897	3
POLR1B	440	5.291565e-05	1.62203	3
RPL24	441	5.291565e-05	1.63609	3
RPLP1	442	5.291565e-05	1.63637	3
EIF6	443	5.291565e-05	1.62287	3
PGGT1B	444	5.291565e-05	1.63618	3
NEPRO	445	5.291565e-05	1.63372	3
SAE1	446	5.291565e-05	1.62313	3
BORA	447	5.291565e-05	1.64448	3
KARS	448	5.291565e-05	1.61783	3
TINF2	449	5.291565e-05	1.61562	3
FTSJ3	450	5.291565e-05	1.64025	3
ZNF574	451	5.291565e-05	1.66706	3
TAF13	452	5.291565e-05	1.63909	3
NAA50	453	5.291565e-05	1.70479	3
TTK	454	5.291565e-05	1.62097	3
TAF1A	455	5.291565e-05	1.63311	3
RAB18	456	5.291565e-05	1.64007	3
CUL1	457	5.291565e-05	1.70754	3
NXT1	458	5.291565e-05	1.62542	3
C9orf78	459	5.291565e-05	1.6433	3
GEMIN5	460	5.291565e-05	1.71054	3
RPL11	461	5.291565e-05	1.61448	3
GPN3	462	5.291565e-05	1.63573	3
ATP7B	463	5.291565e-05	1.61409	3
MTOR	464	5.291565e-05	1.63074	3
RPP38	465	5.291565e-05	1.68449	3
WDR33	466	5.291565e-05	1.60494	3
EMG1	467	5.291565e-05	1.64929	3
PSMC4	468	5.291565e-05	1.65829	3
IPO9	469	5.291565e-05	1.61655	3
EIF2S1	470	5.291565e-05	1.64889	3
SLC25A26	471	5.291565e-05	1.60629	3
MED27	472	5.291565e-05	1.60184	3
VPS36	473	5.291565e-05	1.6083	3
TAF3	474	5.291565e-05	1.63252	3
RIOK2	475	5.291565e-05	1.63296	3
GATB	476	5.291565e-05	1.6058	3
ANAPC5	477	5.291565e-05	1.64603	3
HBS1L	478	5.291565e-05	1.6276	3
MFAP1	479	5.291565e-05	1.61686	3
DSN1	480	5.291565e-05	1.60334	3
DDX27	481	5.291565e-05	1.71533	3
ZNRD1	482	5.291565e-05	1.60541	3
DNTTIP1	483	5.291565e-05	1.60369	3
FBL	484	5.291565e-05	1.60016	3
KAT7	485	5.291565e-05	1.66586	3
CARS2	486	5.291565e-05	1.61157	3
CCDC121	487	5.291565e-05	1.62643	3
SMARCE1	488	5.291565e-05	1.62436	3
NAT10	489	5.291565e-05	1.67397	3
MCM5	490	5.291565e-05	1.59296	3
RFC3	491	5.291565e-05	1.62605	3
ALG1	492	5.291565e-05	1.61695	3
PPWD1	493	5.291565e-05	1.60232	3
TPX2	494	5.291565e-05	1.59544	3
PSMC3	495	5.291565e-05	1.62279	3
LUC7L3	496	5.291565e-05	1.60551	3
NVL	497	5.291565e-05	1.58917	3
RPP14	498	5.291565e-05	1.60798	3
PET100	499	5.291565e-05	1.59812	3
RBMX2	500	5.291565e-05	1.59941	3
PAM16	501	5.291565e-05	1.60556	3
COG8	502	5.291565e-05	1.58759	3
RNASEK	503	5.291565e-05	1.61266	3
ELP2	504	5.291565e-05	1.61049	3
DCTN2	505	5.291565e-05	1.60495	3
PFDN6	506	5.291565e-05	1.5889	3
TWISTNB	507	5.291565e-05	1.63732	3
PHB2	508	5.291565e-05	1.63375	3
HEATR3	509	5.291565e-05	1.57934	3
VPS72	510	5.291565e-05	1.58967	3
ACD	511	5.291565e-05	1.62761	3
CDKN2D	512	5.291565e-05	1.66239	3
HINFP	513	5.291565e-05	1.58406	3
INTS11	514	5.291565e-05	1.59451	3
CCDC86	515	5.291565e-05	1.60596	3
ACTL6A	516	5.291565e-05	1.61162	3
MED4	517	5.291565e-05	1.60991	3
TTC4	518	5.291565e-05	1.58702	3
RNGTT	519	5.291565e-05	1.57899	3
DDX18	520	5.291565e-05	1.58983	3
VPS29	521	5.291565e-05	1.60173	3
EEF2	522	5.291565e-05	1.57384	3
GRPEL1	523	5.291565e-05	1.58996	3
MRE11	524	5.291565e-05	1.57527	3
SNRPC	525	5.291565e-05	1.6158	3
POLR1D	526	5.291565e-05	1.65408	3
CDC73	527	5.291565e-05	1.59798	3
TIMM9	528	5.291565e-05	1.57245	3
CCDC174	529	5.291565e-05	1.58367	3
ITPA	530	5.291565e-05	1.56918	3
ZNHIT6	531	5.291565e-05	1.56895	3
DTYMK	532	5.291565e-05	1.56825	3
PKMYT1	533	5.291565e-05	1.64661	3
TRPM7	534	5.291565e-05	1.56791	3
CINP	535	5.291565e-05	1.58313	3
MRPL41	536	5.291565e-05	1.59148	3
MRPL11	537	5.291565e-05	1.58009	3
NEDD1	538	5.291565e-05	1.56865	3
TPI1	539	5.291565e-05	1.62704	3
TBCD	540	5.291565e-05	1.59871	3
CDC7	541	5.291565e-05	1.57579	3
AP2A1	542	5.291565e-05	1.56642	3
TUBGCP6	543	5.291565e-05	1.61091	3
THOC1	544	5.291565e-05	1.58875	3
NUP62	545	5.291565e-05	1.57883	3
WRB	546	5.291565e-05	1.59736	3
UTP11	547	5.291565e-05	1.57981	3
ZNF622	548	5.291565e-05	1.57866	3
MRPL16	549	5.291565e-05	1.57265	3
TBCB	550	5.291565e-05	1.65578	3
MED28	551	5.291565e-05	1.5826	3
CHAF1B	552	5.291565e-05	1.56888	3
MRPS21	553	5.291565e-05	1.58741	3
CTNNBL1	554	5.291565e-05	1.56319	3
VPS41	555	5.291565e-05	1.57866	3
BCAS2	556	5.291565e-05	1.74361	3
OGT	557	5.291565e-05	1.56008	3
ADAR	558	5.291565e-05	1.55811	3
MRPS5	559	5.291565e-05	1.55091	3
RFC4	560	5.291565e-05	1.56605	3
USO1	561	5.291565e-05	1.55115	3
SAMM50	562	5.291565e-05	1.60695	3
LSM7	563	5.291565e-05	1.59481	3
PRPF40A	564	5.291565e-05	1.56758	3
EXOSC8	565	5.291565e-05	1.54598	3
CHEK1	566	5.291565e-05	1.58012	3
NOC2L	567	5.291565e-05	1.668	3
HSPD1	568	5.291565e-05	1.54767	3
NOP56	569	5.291565e-05	1.54619	3
NEK1	570	5.291565e-05	1.62001	3
UPF2	571	5.291565e-05	1.58912	3
PPIE	572	5.291565e-05	1.56492	3
UBE2I	573	5.291565e-05	1.5424	3
DCTN4	574	5.291565e-05	1.58562	3
RRAGC	575	5.291565e-05	1.5482	3
SRPRB	576	5.291565e-05	1.54351	3
SF3A3	577	5.291565e-05	1.55505	3
NPM1	578	5.291565e-05	1.54503	3
CIAPIN1	579	5.291565e-05	1.54666	3
PISD	580	5.291565e-05	1.54529	3
COG5	581	5.291565e-05	1.59959	3
BTF3	582	5.291565e-05	1.56165	3
SUGT1	583	5.291565e-05	1.55458	3
RPS3A	584	5.291565e-05	1.53715	3
MRPL30	585	5.291565e-05	1.55364	3
EXOC3	586	5.291565e-05	1.55658	3
ERCC3	587	5.291565e-05	1.56279	3
ICE2	588	5.291565e-05	1.54579	3
IPO13	589	5.291565e-05	1.53865	3
MRPL36	590	5.291565e-05	1.58287	3
TRAPPC3	591	5.291565e-05	1.54137	3
NDUFA7	592	5.291565e-05	1.53373	3
MAPK1	593	5.291565e-05	1.53259	3
MRTO4	594	5.291565e-05	1.60467	3
WDR43	595	5.291565e-05	1.5646	3
RAD51	596	5.291565e-05	1.5412	3
PELP1	597	5.291565e-05	1.52898	3
NARFL	598	5.291565e-05	1.58301	3
COX7C	599	5.291565e-05	1.53481	3
GLE1	600	5.291565e-05	1.53781	3
TRMT10C	601	5.291565e-05	1.64665	3
SEC13	602	5.291565e-05	1.5622	3
SRP9	603	5.291565e-05	1.58977	3
SACM1L	604	5.291565e-05	1.53018	3
POLE	605	5.291565e-05	1.5324	3
RPA1	606	5.291565e-05	1.52589	3
SNRNP200	607	5.291565e-05	1.526	3
EIF3I	608	5.291565e-05	1.54119	3
TTI1	609	5.291565e-05	1.52909	3
KAT8	610	5.291565e-05	1.55624	3
MRPS33	611	5.291565e-05	1.56725	3
WDR75	612	5.291565e-05	1.52589	3
CYB5R4	613	5.291565e-05	1.531	3
APEX1	614	5.291565e-05	1.52566	3
ITGAV	615	5.291565e-05	1.52143	3
SF3B1	616	5.291565e-05	1.56222	3
CTR9	617	5.291565e-05	1.53748	3
