sgrna	symbol	pool	prob	chosen
COPS2_COPS2-2	COPS2	list	1	1
COPS2_COPS2-3	COPS2	list	1	1
COPS2_COPS2-4	COPS2	list	1	1
COPS2_COPS2-5	COPS2	list	1	1
COPS2_COPS2-6	COPS2	list	1	1
COPS2_COPS2-7	COPS2	list	1	1
COPS2_COPS2-8	COPS2	list	1	1
COPS2_COPS2-9	COPS2	list	1	1
COPS4_COPS4-1	COPS4	list	1	1
COPS4_COPS4-10	COPS4	list	1	1
COPS4_COPS4-2	COPS4	list	1	1
COPS4_COPS4-3	COPS4	list	1	1
COPS4_COPS4-4	COPS4	list	1	1
COPS4_COPS4-5	COPS4	list	1	1
COPS4_COPS4-6	COPS4	list	1	1
COPS4_COPS4-7	COPS4	list	1	1
COPS4_COPS4-8	COPS4	list	1	1
COPS4_COPS4-9	COPS4	list	1	1
COPS6_COPS6-1	COPS6	list	1	1
COPS6_COPS6-10	COPS6	list	1	1
COPS6_COPS6-2	COPS6	list	1	1
COPS6_COPS6-3	COPS6	list	1	1
COPS6_COPS6-4	COPS6	list	1	1
COPS6_COPS6-5	COPS6	list	1	1
COPS6_COPS6-6	COPS6	list	1	1
COPS6_COPS6-7	COPS6	list	1	1
COPS6_COPS6-8	COPS6	list	1	1
COPS6_COPS6-9	COPS6	list	1	1
COPS8_COPS8-1	COPS8	list	1	1
COPS8_COPS8-10	COPS8	list	1	1
COPS8_COPS8-11	COPS8	list	1	1
COPS8_COPS8-12	COPS8	list	1	1
COPS8_COPS8-13	COPS8	list	1	1
COPS8_COPS8-14	COPS8	list	1	1
COPS8_COPS8-15	COPS8	list	1	1
COPS8_COPS8-16	COPS8	list	1	1
COPS8_COPS8-2	COPS8	list	1	1
COPS8_COPS8-3	COPS8	list	1	1
COPS8_COPS8-4	COPS8	list	1	1
COPS8_COPS8-5	COPS8	list	1	1
COPS8_COPS8-6	COPS8	list	1	1
COPS8_COPS8-7	COPS8	list	1	1
COPS8_COPS8-8	COPS8	list	1	1
COPS8_COPS8-9	COPS8	list	1	1
COPZ1_COPZ1-11	COPZ1	list	1	1
COPZ1_COPZ1-12	COPZ1	list	1	1
COPZ1_COPZ1-13	COPZ1	list	1	1
COPZ1_COPZ1-14	COPZ1	list	1	1
COPZ1_COPZ1-15	COPZ1	list	1	1
COPZ1_COPZ1-16	COPZ1	list	1	1
COPZ1_COPZ1-17	COPZ1	list	1	1
COPZ1_COPZ1-18	COPZ1	list	1	1
COPZ1_COPZ1-2	COPZ1	list	1	1
COPZ1_COPZ1-3	COPZ1	list	1	1
COPZ1_COPZ1-4	COPZ1	list	1	1
COPZ1_COPZ1-5	COPZ1	list	1	1
COPZ1_COPZ1-6	COPZ1	list	1	1
COPZ1_COPZ1-7	COPZ1	list	1	1
COPZ1_COPZ1-8	COPZ1	list	1	1
COPZ1_COPZ1-9	COPZ1	list	1	1
CRYGB_CRYGB-1	CRYGB	list	1	1
CRYGB_CRYGB-10	CRYGB	list	1	1
CRYGB_CRYGB-2	CRYGB	list	1	1
CRYGB_CRYGB-3	CRYGB	list	1	1
CRYGB_CRYGB-4	CRYGB	list	1	1
CRYGB_CRYGB-5	CRYGB	list	1	1
CRYGB_CRYGB-6	CRYGB	list	1	1
CRYGB_CRYGB-7	CRYGB	list	1	1
CRYGB_CRYGB-8	CRYGB	list	1	1
CRYGB_CRYGB-9	CRYGB	list	1	1
CYP7A1_CYP7A1-1	CYP7A1	list	1	1
CYP7A1_CYP7A1-10	CYP7A1	list	1	1
CYP7A1_CYP7A1-2	CYP7A1	list	1	1
CYP7A1_CYP7A1-3	CYP7A1	list	1	1
CYP7A1_CYP7A1-4	CYP7A1	list	1	1
CYP7A1_CYP7A1-5	CYP7A1	list	1	1
CYP7A1_CYP7A1-6	CYP7A1	list	1	1
CYP7A1_CYP7A1-7	CYP7A1	list	1	1
CYP7A1_CYP7A1-8	CYP7A1	list	1	1
CYP7A1_CYP7A1-9	CYP7A1	list	1	1
DEFB129_DEFB129-1	DEFB129	list	1	1
DEFB129_DEFB129-10	DEFB129	list	1	1
DEFB129_DEFB129-2	DEFB129	list	1	1
DEFB129_DEFB129-3	DEFB129	list	1	1
DEFB129_DEFB129-4	DEFB129	list	1	1
DEFB129_DEFB129-5	DEFB129	list	1	1
DEFB129_DEFB129-6	DEFB129	list	1	1
DEFB129_DEFB129-7	DEFB129	list	1	1
DEFB129_DEFB129-8	DEFB129	list	1	1
DEFB129_DEFB129-9	DEFB129	list	1	1
DMRTB1_DMRTB1-1	DMRTB1	list	1	1
DMRTB1_DMRTB1-10	DMRTB1	list	1	1
DMRTB1_DMRTB1-2	DMRTB1	list	1	1
DMRTB1_DMRTB1-3	DMRTB1	list	1	1
DMRTB1_DMRTB1-4	DMRTB1	list	1	1
DMRTB1_DMRTB1-5	DMRTB1	list	1	1
DMRTB1_DMRTB1-6	DMRTB1	list	1	1
DMRTB1_DMRTB1-7	DMRTB1	list	1	1
DMRTB1_DMRTB1-8	DMRTB1	list	1	1
DMRTB1_DMRTB1-9	DMRTB1	list	1	1
DMRTC2_DMRTC2-1	DMRTC2	list	1	1
DMRTC2_DMRTC2-10	DMRTC2	list	1	1
DMRTC2_DMRTC2-2	DMRTC2	list	1	1
DMRTC2_DMRTC2-3	DMRTC2	list	1	1
DMRTC2_DMRTC2-4	DMRTC2	list	1	1
DMRTC2_DMRTC2-5	DMRTC2	list	1	1
DMRTC2_DMRTC2-6	DMRTC2	list	1	1
DMRTC2_DMRTC2-7	DMRTC2	list	1	1
DMRTC2_DMRTC2-8	DMRTC2	list	1	1
DMRTC2_DMRTC2-9	DMRTC2	list	1	1
FAM71B_FAM71B-1	FAM71B	list	1	1
FAM71B_FAM71B-10	FAM71B	list	1	1
FAM71B_FAM71B-2	FAM71B	list	1	1
FAM71B_FAM71B-3	FAM71B	list	1	1
FAM71B_FAM71B-4	FAM71B	list	1	1
FAM71B_FAM71B-5	FAM71B	list	1	1
FAM71B_FAM71B-6	FAM71B	list	1	1
FAM71B_FAM71B-7	FAM71B	list	1	1
FAM71B_FAM71B-8	FAM71B	list	1	1
FAM71B_FAM71B-9	FAM71B	list	1	1
FCRL4_FCRL4-1	FCRL4	list	1	1
FCRL4_FCRL4-10	FCRL4	list	1	1
FCRL4_FCRL4-2	FCRL4	list	1	1
FCRL4_FCRL4-3	FCRL4	list	1	1
FCRL4_FCRL4-4	FCRL4	list	1	1
FCRL4_FCRL4-5	FCRL4	list	1	1
FCRL4_FCRL4-6	FCRL4	list	1	1
FCRL4_FCRL4-7	FCRL4	list	1	1
FCRL4_FCRL4-8	FCRL4	list	1	1
FCRL4_FCRL4-9	FCRL4	list	1	1
HTR3D_HTR3D-1	HTR3D	list	1	1
HTR3D_HTR3D-10	HTR3D	list	1	1
HTR3D_HTR3D-2	HTR3D	list	1	1
HTR3D_HTR3D-3	HTR3D	list	1	1
HTR3D_HTR3D-4	HTR3D	list	1	1
HTR3D_HTR3D-5	HTR3D	list	1	1
HTR3D_HTR3D-6	HTR3D	list	1	1
HTR3D_HTR3D-7	HTR3D	list	1	1
HTR3D_HTR3D-8	HTR3D	list	1	1
HTR3D_HTR3D-9	HTR3D	list	1	1
IL1F10_IL1F10-1	IL1F10	list	1	1
IL1F10_IL1F10-10	IL1F10	list	1	1
IL1F10_IL1F10-2	IL1F10	list	1	1
IL1F10_IL1F10-3	IL1F10	list	1	1
IL1F10_IL1F10-4	IL1F10	list	1	1
IL1F10_IL1F10-5	IL1F10	list	1	1
IL1F10_IL1F10-6	IL1F10	list	1	1
IL1F10_IL1F10-7	IL1F10	list	1	1
IL1F10_IL1F10-8	IL1F10	list	1	1
IL1F10_IL1F10-9	IL1F10	list	1	1
IL22_IL22-1	IL22	list	1	1
IL22_IL22-10	IL22	list	1	1
IL22_IL22-2	IL22	list	1	1
IL22_IL22-3	IL22	list	1	1
IL22_IL22-4	IL22	list	1	1
IL22_IL22-5	IL22	list	1	1
IL22_IL22-6	IL22	list	1	1
IL22_IL22-7	IL22	list	1	1
IL22_IL22-8	IL22	list	1	1
IL22_IL22-9	IL22	list	1	1
KRT25_KRT25-1	KRT25	list	1	1
KRT25_KRT25-10	KRT25	list	1	1
KRT25_KRT25-2	KRT25	list	1	1
KRT25_KRT25-3	KRT25	list	1	1
KRT25_KRT25-4	KRT25	list	1	1
KRT25_KRT25-5	KRT25	list	1	1
KRT25_KRT25-6	KRT25	list	1	1
KRT25_KRT25-7	KRT25	list	1	1
KRT25_KRT25-8	KRT25	list	1	1
KRT25_KRT25-9	KRT25	list	1	1
KRT74_KRT74-1	KRT74	list	1	1
KRT74_KRT74-10	KRT74	list	1	1
KRT74_KRT74-2	KRT74	list	1	1
KRT74_KRT74-3	KRT74	list	1	1
KRT74_KRT74-4	KRT74	list	1	1
KRT74_KRT74-5	KRT74	list	1	1
KRT74_KRT74-6	KRT74	list	1	1
KRT74_KRT74-7	KRT74	list	1	1
KRT74_KRT74-8	KRT74	list	1	1
KRT74_KRT74-9	KRT74	list	1	1
KRT77_KRT77-1	KRT77	list	1	1
KRT77_KRT77-10	KRT77	list	1	1
KRT77_KRT77-2	KRT77	list	1	1
KRT77_KRT77-3	KRT77	list	1	1
KRT77_KRT77-4	KRT77	list	1	1
KRT77_KRT77-5	KRT77	list	1	1
KRT77_KRT77-6	KRT77	list	1	1
KRT77_KRT77-7	KRT77	list	1	1
KRT77_KRT77-8	KRT77	list	1	1
KRT77_KRT77-9	KRT77	list	1	1
KRT9_KRT9-1	KRT9	list	1	1
KRT9_KRT9-10	KRT9	list	1	1
KRT9_KRT9-2	KRT9	list	1	1
KRT9_KRT9-3	KRT9	list	1	1
KRT9_KRT9-4	KRT9	list	1	1
KRT9_KRT9-5	KRT9	list	1	1
KRT9_KRT9-6	KRT9	list	1	1
KRT9_KRT9-7	KRT9	list	1	1
KRT9_KRT9-8	KRT9	list	1	1
KRT9_KRT9-9	KRT9	list	1	1
LHX5_LHX5-1	LHX5	list	1	1
LHX5_LHX5-10	LHX5	list	1	1
LHX5_LHX5-2	LHX5	list	1	1
LHX5_LHX5-3	LHX5	list	1	1
LHX5_LHX5-4	LHX5	list	1	1
LHX5_LHX5-5	LHX5	list	1	1
LHX5_LHX5-6	LHX5	list	1	1
LHX5_LHX5-7	LHX5	list	1	1
LHX5_LHX5-8	LHX5	list	1	1
LHX5_LHX5-9	LHX5	list	1	1
LUZP4_LUZP4-1	LUZP4	list	1	1
LUZP4_LUZP4-10	LUZP4	list	1	1
LUZP4_LUZP4-2	LUZP4	list	1	1
LUZP4_LUZP4-3	LUZP4	list	1	1
LUZP4_LUZP4-4	LUZP4	list	1	1
LUZP4_LUZP4-5	LUZP4	list	1	1
LUZP4_LUZP4-6	LUZP4	list	1	1
LUZP4_LUZP4-7	LUZP4	list	1	1
LUZP4_LUZP4-8	LUZP4	list	1	1
LUZP4_LUZP4-9	LUZP4	list	1	1
LYZL6_LYZL6-1	LYZL6	list	1	1
LYZL6_LYZL6-10	LYZL6	list	1	1
LYZL6_LYZL6-2	LYZL6	list	1	1
LYZL6_LYZL6-3	LYZL6	list	1	1
LYZL6_LYZL6-4	LYZL6	list	1	1
LYZL6_LYZL6-5	LYZL6	list	1	1
LYZL6_LYZL6-6	LYZL6	list	1	1
LYZL6_LYZL6-7	LYZL6	list	1	1
LYZL6_LYZL6-8	LYZL6	list	1	1
LYZL6_LYZL6-9	LYZL6	list	1	1
MAGEB3_MAGEB3-1	MAGEB3	list	1	1
MAGEB3_MAGEB3-10	MAGEB3	list	1	1
MAGEB3_MAGEB3-2	MAGEB3	list	1	1
MAGEB3_MAGEB3-3	MAGEB3	list	1	1
MAGEB3_MAGEB3-4	MAGEB3	list	1	1
MAGEB3_MAGEB3-5	MAGEB3	list	1	1
MAGEB3_MAGEB3-6	MAGEB3	list	1	1
MAGEB3_MAGEB3-7	MAGEB3	list	1	1
MAGEB3_MAGEB3-8	MAGEB3	list	1	1
MAGEB3_MAGEB3-9	MAGEB3	list	1	1
MRGPRD_MRGPRD-1	MRGPRD	list	1	1
MRGPRD_MRGPRD-10	MRGPRD	list	1	1
MRGPRD_MRGPRD-2	MRGPRD	list	1	1
MRGPRD_MRGPRD-3	MRGPRD	list	1	1
MRGPRD_MRGPRD-4	MRGPRD	list	1	1
MRGPRD_MRGPRD-5	MRGPRD	list	1	1
MRGPRD_MRGPRD-6	MRGPRD	list	1	1
MRGPRD_MRGPRD-7	MRGPRD	list	1	1
MRGPRD_MRGPRD-8	MRGPRD	list	1	1
MRGPRD_MRGPRD-9	MRGPRD	list	1	1
NLRP5_NLRP5-1	NLRP5	list	1	1
NLRP5_NLRP5-10	NLRP5	list	1	1
NLRP5_NLRP5-2	NLRP5	list	1	1
NLRP5_NLRP5-3	NLRP5	list	1	1
NLRP5_NLRP5-4	NLRP5	list	1	1
NLRP5_NLRP5-5	NLRP5	list	1	1
NLRP5_NLRP5-6	NLRP5	list	1	1
NLRP5_NLRP5-7	NLRP5	list	1	1
NLRP5_NLRP5-8	NLRP5	list	1	1
NLRP5_NLRP5-9	NLRP5	list	1	1
NPHS2_NPHS2-1	NPHS2	list	1	1
NPHS2_NPHS2-10	NPHS2	list	1	1
NPHS2_NPHS2-2	NPHS2	list	1	1
NPHS2_NPHS2-3	NPHS2	list	1	1
NPHS2_NPHS2-4	NPHS2	list	1	1
NPHS2_NPHS2-5	NPHS2	list	1	1
NPHS2_NPHS2-6	NPHS2	list	1	1
NPHS2_NPHS2-7	NPHS2	list	1	1
NPHS2_NPHS2-8	NPHS2	list	1	1
NPHS2_NPHS2-9	NPHS2	list	1	1
NPSR1_NPSR1-1	NPSR1	list	1	1
NPSR1_NPSR1-10	NPSR1	list	1	1
NPSR1_NPSR1-2	NPSR1	list	1	1
NPSR1_NPSR1-3	NPSR1	list	1	1
NPSR1_NPSR1-4	NPSR1	list	1	1
NPSR1_NPSR1-5	NPSR1	list	1	1
NPSR1_NPSR1-6	NPSR1	list	1	1
NPSR1_NPSR1-7	NPSR1	list	1	1
NPSR1_NPSR1-8	NPSR1	list	1	1
NPSR1_NPSR1-9	NPSR1	list	1	1
NUP133_NUP133-1	NUP133	list	1	1
NUP133_NUP133-10	NUP133	list	1	1
NUP133_NUP133-2	NUP133	list	1	1
NUP133_NUP133-3	NUP133	list	1	1
NUP133_NUP133-4	NUP133	list	1	1
NUP133_NUP133-5	NUP133	list	1	1
NUP133_NUP133-6	NUP133	list	1	1
NUP133_NUP133-7	NUP133	list	1	1
NUP133_NUP133-8	NUP133	list	1	1
NUP133_NUP133-9	NUP133	list	1	1
NUP205_NUP205-1	NUP205	list	1	1
NUP205_NUP205-10	NUP205	list	1	1
NUP205_NUP205-2	NUP205	list	1	1
NUP205_NUP205-3	NUP205	list	1	1
NUP205_NUP205-4	NUP205	list	1	1
NUP205_NUP205-5	NUP205	list	1	1
NUP205_NUP205-6	NUP205	list	1	1
NUP205_NUP205-7	NUP205	list	1	1
NUP205_NUP205-8	NUP205	list	1	1
NUP205_NUP205-9	NUP205	list	1	1
NUP54_NUP54-10	NUP54	list	1	1
NUP54_NUP54-11	NUP54	list	1	1
NUP54_NUP54-15	NUP54	list	1	1
NUP54_NUP54-16	NUP54	list	1	1
NUP54_NUP54-18	NUP54	list	1	1
NUP54_NUP54-19	NUP54	list	1	1
NUP54_NUP54-2	NUP54	list	1	1
NUP54_NUP54-20	NUP54	list	1	1
NUP54_NUP54-4	NUP54	list	1	1
NUP54_NUP54-8	NUP54	list	1	1
NUP54_NUP54-9	NUP54	list	1	1
NUP93_NUP93-1	NUP93	list	1	1
NUP93_NUP93-10	NUP93	list	1	1
NUP93_NUP93-11	NUP93	list	1	1
NUP93_NUP93-2	NUP93	list	1	1
NUP93_NUP93-3	NUP93	list	1	1
NUP93_NUP93-4	NUP93	list	1	1
NUP93_NUP93-5	NUP93	list	1	1
NUP93_NUP93-6	NUP93	list	1	1
NUP93_NUP93-7	NUP93	list	1	1
NUP93_NUP93-8	NUP93	list	1	1
NUP93_NUP93-9	NUP93	list	1	1
NUP98_NUP98-1	NUP98	list	1	1
NUP98_NUP98-10	NUP98	list	1	1
NUP98_NUP98-11	NUP98	list	1	1
NUP98_NUP98-12	NUP98	list	1	1
NUP98_NUP98-13	NUP98	list	1	1
NUP98_NUP98-14	NUP98	list	1	1
NUP98_NUP98-15	NUP98	list	1	1
NUP98_NUP98-16	NUP98	list	1	1
NUP98_NUP98-2	NUP98	list	1	1
NUP98_NUP98-3	NUP98	list	1	1
NUP98_NUP98-4	NUP98	list	1	1
NUP98_NUP98-5	NUP98	list	1	1
NUP98_NUP98-6	NUP98	list	1	1
NUP98_NUP98-7	NUP98	list	1	1
NUP98_NUP98-8	NUP98	list	1	1
NUP98_NUP98-9	NUP98	list	1	1
OC90_OC90-1	OC90	list	1	1
OC90_OC90-10	OC90	list	1	1
OC90_OC90-2	OC90	list	1	1
OC90_OC90-3	OC90	list	1	1
OC90_OC90-4	OC90	list	1	1
OC90_OC90-5	OC90	list	1	1
OC90_OC90-6	OC90	list	1	1
OC90_OC90-7	OC90	list	1	1
OC90_OC90-8	OC90	list	1	1
OC90_OC90-9	OC90	list	1	1
OLIG2_OLIG2-1	OLIG2	list	1	1
OLIG2_OLIG2-10	OLIG2	list	1	1
OLIG2_OLIG2-2	OLIG2	list	1	1
OLIG2_OLIG2-3	OLIG2	list	1	1
OLIG2_OLIG2-4	OLIG2	list	1	1
OLIG2_OLIG2-5	OLIG2	list	1	1
OLIG2_OLIG2-6	OLIG2	list	1	1
OLIG2_OLIG2-7	OLIG2	list	1	1
OLIG2_OLIG2-8	OLIG2	list	1	1
OLIG2_OLIG2-9	OLIG2	list	1	1
OR12D2_OR12D2-1	OR12D2	list	1	1
OR12D2_OR12D2-10	OR12D2	list	1	1
OR12D2_OR12D2-2	OR12D2	list	1	1
OR12D2_OR12D2-3	OR12D2	list	1	1
OR12D2_OR12D2-4	OR12D2	list	1	1
OR12D2_OR12D2-5	OR12D2	list	1	1
OR12D2_OR12D2-6	OR12D2	list	1	1
OR12D2_OR12D2-7	OR12D2	list	1	1
OR12D2_OR12D2-8	OR12D2	list	1	1
OR12D2_OR12D2-9	OR12D2	list	1	1
OR52E8_OR52E8-1	OR52E8	list	1	1
OR52E8_OR52E8-10	OR52E8	list	1	1
OR52E8_OR52E8-2	OR52E8	list	1	1
OR52E8_OR52E8-3	OR52E8	list	1	1
OR52E8_OR52E8-4	OR52E8	list	1	1
OR52E8_OR52E8-5	OR52E8	list	1	1
OR52E8_OR52E8-6	OR52E8	list	1	1
OR52E8_OR52E8-7	OR52E8	list	1	1
OR52E8_OR52E8-8	OR52E8	list	1	1
OR52E8_OR52E8-9	OR52E8	list	1	1
OR9Q2_OR9Q2-1	OR9Q2	list	1	1
OR9Q2_OR9Q2-10	OR9Q2	list	1	1
OR9Q2_OR9Q2-2	OR9Q2	list	1	1
OR9Q2_OR9Q2-3	OR9Q2	list	1	1
OR9Q2_OR9Q2-4	OR9Q2	list	1	1
OR9Q2_OR9Q2-5	OR9Q2	list	1	1
OR9Q2_OR9Q2-6	OR9Q2	list	1	1
OR9Q2_OR9Q2-7	OR9Q2	list	1	1
OR9Q2_OR9Q2-8	OR9Q2	list	1	1
OR9Q2_OR9Q2-9	OR9Q2	list	1	1
OTUD6A_OTUD6A-1	OTUD6A	list	1	1
OTUD6A_OTUD6A-10	OTUD6A	list	1	1
OTUD6A_OTUD6A-2	OTUD6A	list	1	1
OTUD6A_OTUD6A-3	OTUD6A	list	1	1
OTUD6A_OTUD6A-4	OTUD6A	list	1	1
OTUD6A_OTUD6A-5	OTUD6A	list	1	1
OTUD6A_OTUD6A-6	OTUD6A	list	1	1
OTUD6A_OTUD6A-7	OTUD6A	list	1	1
OTUD6A_OTUD6A-8	OTUD6A	list	1	1
OTUD6A_OTUD6A-9	OTUD6A	list	1	1
PIWIL3_PIWIL3-1	PIWIL3	list	1	1
PIWIL3_PIWIL3-10	PIWIL3	list	1	1
PIWIL3_PIWIL3-2	PIWIL3	list	1	1
PIWIL3_PIWIL3-3	PIWIL3	list	1	1
PIWIL3_PIWIL3-4	PIWIL3	list	1	1
PIWIL3_PIWIL3-5	PIWIL3	list	1	1
PIWIL3_PIWIL3-6	PIWIL3	list	1	1
PIWIL3_PIWIL3-7	PIWIL3	list	1	1
PIWIL3_PIWIL3-8	PIWIL3	list	1	1
PIWIL3_PIWIL3-9	PIWIL3	list	1	1
PLA2G2E_PLA2G2E-1	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-10	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-2	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-3	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-4	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-5	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-6	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-7	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-8	PLA2G2E	list	1	1
PLA2G2E_PLA2G2E-9	PLA2G2E	list	1	1
POLA1_POLA1-1	POLA1	list	1	1
POLA1_POLA1-10	POLA1	list	1	1
POLA1_POLA1-2	POLA1	list	1	1
POLA1_POLA1-3	POLA1	list	1	1
POLA1_POLA1-4	POLA1	list	1	1
POLA1_POLA1-5	POLA1	list	1	1
POLA1_POLA1-6	POLA1	list	1	1
POLA1_POLA1-7	POLA1	list	1	1
POLA1_POLA1-8	POLA1	list	1	1
POLA1_POLA1-9	POLA1	list	1	1
POLR2A_POLR2A-1	POLR2A	list	1	1
POLR2A_POLR2A-10	POLR2A	list	1	1
POLR2A_POLR2A-2	POLR2A	list	1	1
POLR2A_POLR2A-3	POLR2A	list	1	1
POLR2A_POLR2A-4	POLR2A	list	1	1
POLR2A_POLR2A-5	POLR2A	list	1	1
POLR2A_POLR2A-6	POLR2A	list	1	1
POLR2A_POLR2A-7	POLR2A	list	1	1
POLR2A_POLR2A-8	POLR2A	list	1	1
POLR2A_POLR2A-9	POLR2A	list	1	1
POLR2D_POLR2D-1	POLR2D	list	1	1
POLR2D_POLR2D-10	POLR2D	list	1	1
POLR2D_POLR2D-2	POLR2D	list	1	1
POLR2D_POLR2D-3	POLR2D	list	1	1
POLR2D_POLR2D-4	POLR2D	list	1	1
POLR2D_POLR2D-5	POLR2D	list	1	1
POLR2D_POLR2D-6	POLR2D	list	1	1
POLR2D_POLR2D-7	POLR2D	list	1	1
POLR2D_POLR2D-8	POLR2D	list	1	1
POLR2D_POLR2D-9	POLR2D	list	1	1
POLR2F_POLR2F-1	POLR2F	list	1	1
POLR2F_POLR2F-10	POLR2F	list	1	1
POLR2F_POLR2F-2	POLR2F	list	1	1
POLR2F_POLR2F-3	POLR2F	list	1	1
POLR2F_POLR2F-4	POLR2F	list	1	1
POLR2F_POLR2F-5	POLR2F	list	1	1
POLR2F_POLR2F-6	POLR2F	list	1	1
POLR2F_POLR2F-7	POLR2F	list	1	1
POLR2F_POLR2F-8	POLR2F	list	1	1
POLR2F_POLR2F-9	POLR2F	list	1	1
POU4F2_POU4F2-1	POU4F2	list	1	1
POU4F2_POU4F2-10	POU4F2	list	1	1
POU4F2_POU4F2-2	POU4F2	list	1	1
POU4F2_POU4F2-3	POU4F2	list	1	1
POU4F2_POU4F2-4	POU4F2	list	1	1
POU4F2_POU4F2-5	POU4F2	list	1	1
POU4F2_POU4F2-6	POU4F2	list	1	1
POU4F2_POU4F2-7	POU4F2	list	1	1
POU4F2_POU4F2-8	POU4F2	list	1	1
POU4F2_POU4F2-9	POU4F2	list	1	1
PSMA3_PSMA3-1	PSMA3	list	1	1
PSMA3_PSMA3-10	PSMA3	list	1	1
PSMA3_PSMA3-11	PSMA3	list	1	1
PSMA3_PSMA3-2	PSMA3	list	1	1
PSMA3_PSMA3-3	PSMA3	list	1	1
PSMA3_PSMA3-4	PSMA3	list	1	1
PSMA3_PSMA3-5	PSMA3	list	1	1
PSMA3_PSMA3-6	PSMA3	list	1	1
PSMA3_PSMA3-7	PSMA3	list	1	1
PSMA3_PSMA3-9	PSMA3	list	1	1
PSMB2_PSMB2-1	PSMB2	list	1	1
PSMB2_PSMB2-10	PSMB2	list	1	1
PSMB2_PSMB2-11	PSMB2	list	1	1
PSMB2_PSMB2-12	PSMB2	list	1	1
PSMB2_PSMB2-13	PSMB2	list	1	1
PSMB2_PSMB2-14	PSMB2	list	1	1
PSMB2_PSMB2-15	PSMB2	list	1	1
PSMB2_PSMB2-16	PSMB2	list	1	1
PSMB2_PSMB2-17	PSMB2	list	1	1
PSMB2_PSMB2-18	PSMB2	list	1	1
PSMB2_PSMB2-19	PSMB2	list	1	1
PSMB2_PSMB2-2	PSMB2	list	1	1
PSMB2_PSMB2-20	PSMB2	list	1	1
PSMB2_PSMB2-21	PSMB2	list	1	1
PSMB2_PSMB2-22	PSMB2	list	1	1
PSMB2_PSMB2-23	PSMB2	list	1	1
PSMB2_PSMB2-24	PSMB2	list	1	1
PSMB2_PSMB2-3	PSMB2	list	1	1
PSMB2_PSMB2-4	PSMB2	list	1	1
PSMB2_PSMB2-5	PSMB2	list	1	1
PSMB2_PSMB2-6	PSMB2	list	1	1
PSMB2_PSMB2-7	PSMB2	list	1	1
PSMB2_PSMB2-8	PSMB2	list	1	1
PSMB2_PSMB2-9	PSMB2	list	1	1
