gene,p-value Repl. 1,p-value Repl. 2,p-value Repl. 3,Fisher Statistic,p-value combined,significant
RPL34,0.398897058824,0.1513671875,0.4359375,7.27470995305,0.296187691734,False
RPS3A,0.433388157895,0.19375,0.4359375,6.61512903853,0.357909556592,False
RPL18A,0.433388157895,0.407894736842,0.427389705882,5.16585334323,0.522724137299,False
RPS11,0.433388157895,0.407894736842,0.4359375,5.12624808864,0.527725961738,False
PSMB3,0.50859375,0.349826388889,0.4359375,5.11336077709,0.529358252373,False
RPL5,0.433388157895,0.422275641026,0.4359375,5.05694981781,0.536529929062,False
RPL30,0.50859375,0.484375,0.4359375,4.46251597622,0.614344575489,False
COPS2,0.691964285714,0.519817073171,0.519817073171,3.35355511651,0.763340487158,False
RPS24,0.614329268293,1.0,1.0,0.974448453994,0.986562399582,False
RPL27,0.901162790698,0.922619047619,0.922619047619,0.530294169724,0.997450081482,False
ABCG8,1.0,1.0,1.0,-0.0,1.0,False
ADH7,1.0,1.0,1.0,-0.0,1.0,False
CABP5,1.0,1.0,1.0,-0.0,1.0,False
CRYGB,1.0,1.0,1.0,-0.0,1.0,False
CYP7A1,1.0,1.0,1.0,-0.0,1.0,False
DEFB129,1.0,1.0,1.0,-0.0,1.0,False
DMRTB1,1.0,1.0,1.0,-0.0,1.0,False
DMRTC2,1.0,1.0,1.0,-0.0,1.0,False
FAM71B,1.0,1.0,1.0,-0.0,1.0,False
FCRL4,1.0,1.0,1.0,-0.0,1.0,False
HTR3D,1.0,1.0,1.0,-0.0,1.0,False
IL1F10,1.0,1.0,1.0,-0.0,1.0,False
IL22,1.0,1.0,1.0,-0.0,1.0,False
KRT25,1.0,1.0,1.0,-0.0,1.0,False
KRT74,1.0,1.0,1.0,-0.0,1.0,False
KRT77,1.0,1.0,1.0,-0.0,1.0,False
KRT9,1.0,1.0,1.0,-0.0,1.0,False
LHX5,1.0,1.0,1.0,-0.0,1.0,False
LUZP4,1.0,1.0,1.0,-0.0,1.0,False
LYZL6,1.0,1.0,1.0,-0.0,1.0,False
MAGEB3,1.0,1.0,1.0,-0.0,1.0,False
MRGPRD,1.0,1.0,1.0,-0.0,1.0,False
NLRP5,1.0,1.0,1.0,-0.0,1.0,False
NPHS2,1.0,1.0,1.0,-0.0,1.0,False
NPSR1,1.0,1.0,1.0,-0.0,1.0,False
OC90,1.0,1.0,1.0,-0.0,1.0,False
OLIG2,1.0,1.0,1.0,-0.0,1.0,False
OR12D2,1.0,1.0,1.0,-0.0,1.0,False
OR52E8,1.0,1.0,1.0,-0.0,1.0,False
OR9Q2,1.0,1.0,1.0,-0.0,1.0,False
OTUD6A,1.0,1.0,1.0,-0.0,1.0,False
PIWIL3,1.0,1.0,1.0,-0.0,1.0,False
PLA2G2E,1.0,1.0,1.0,-0.0,1.0,False
POU4F2,1.0,1.0,1.0,-0.0,1.0,False
RNASE9,1.0,1.0,1.0,-0.0,1.0,False
RPL6,1.0,1.0,1.0,-0.0,1.0,False
RPS27,1.0,1.0,1.0,-0.0,1.0,False
RPS7,1.0,1.0,1.0,-0.0,1.0,False
RPTN,1.0,1.0,1.0,-0.0,1.0,False
RXFP2,1.0,1.0,1.0,-0.0,1.0,False
SAGE1,1.0,1.0,1.0,-0.0,1.0,False
SPATA16,1.0,1.0,1.0,-0.0,1.0,False
TAAR1,1.0,1.0,1.0,-0.0,1.0,False
TAAR8,1.0,1.0,1.0,-0.0,1.0,False
TAS2R13,1.0,1.0,1.0,-0.0,1.0,False
TAS2R9,1.0,1.0,1.0,-0.0,1.0,False
TGM6,1.0,1.0,1.0,-0.0,1.0,False
TPH2,1.0,1.0,1.0,-0.0,1.0,False
TRIM42,1.0,1.0,1.0,-0.0,1.0,False
VN1R2,1.0,1.0,1.0,-0.0,1.0,False
