dataset,count_type,gene,sgRNA,group,sample_id,read_count
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-12,T0,T0_1,3963.3006935942794
CRISPRn-RT112,sizeFactor,COPS4,COPS4-9,T0,T0_1,7066.989842274685
CRISPRn-RT112,sizeFactor,RPS11,RPS11-1,T0,T0_1,4338.8591355469425
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-1,T0,T0_1,8794.558675256936
CRISPRn-RT112,sizeFactor,NUP133,NUP133-7,T0,T0_1,4635.596669929294
CRISPRn-RT112,sizeFactor,RPL11,RPL11-8,T0,T0_1,3581.251118077002
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-3,T0,T0_1,4224.800645768726
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-5,T0,T0_1,5351.475971626716
CRISPRn-RT112,sizeFactor,RPS13,RPS13-9,T0,T0_1,4574.394553462934
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-18,T0,T0_1,5045.465389294916
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-4,T0,T0_1,4933.26150910659
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-4,T0,T0_1,3558.9958029983254
CRISPRn-RT112,sizeFactor,RPS19,RPS19-8,T0,T0_1,5293.983074340135
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-2,T0,T0_1,4412.116214347586
CRISPRn-RT112,sizeFactor,RPS13,RPS13-8,T0,T0_1,4965.717176929659
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-17,T0,T0_1,7705.902845991684
CRISPRn-RT112,sizeFactor,RPS8,RPS8-4,T0,T0_1,3559.9231077932704
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-1,T0,T0_1,3627.6163578242445
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-5,T0,T0_1,3852.0241182008976
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-8,T0,T0_1,4467.754502044277
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-9,T0,T0_1,5254.108968157508
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-2,T0,T0_1,3649.8716729029206
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-4,T0,T0_1,6050.663787015132
CRISPRn-RT112,sizeFactor,COPS4,COPS4-6,T0,T0_1,5892.094667079563
CRISPRn-RT112,sizeFactor,RPL34,RPL34-5,T0,T0_1,3920.6446730268162
CRISPRn-RT112,sizeFactor,RPL11,RPL11-7,T0,T0_1,6659.903037293897
CRISPRn-RT112,sizeFactor,NUP54,NUP54-19,T0,T0_1,4534.520447280305
CRISPRn-RT112,sizeFactor,RPL9,RPL9-7,T0,T0_1,3416.190864576819
CRISPRn-RT112,sizeFactor,RPL3,RPL3-11,T0,T0_1,5248.545139387838
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-1,T0,T0_1,3872.424823689684
CRISPRn-RT112,sizeFactor,RPS24,RPS24-5,T0,T0_1,4669.906947342253
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-11,T0,T0_1,4445.4991869656005
CRISPRn-RT112,sizeFactor,RPL30,RPL30-8,T0,T0_1,4345.350269111556
CRISPRn-RT112,sizeFactor,POLA1,POLA1-3,T0,T0_1,3297.4958508238788
CRISPRn-RT112,sizeFactor,RPL36,RPL36-5,T0,T0_1,5154.887355098409
CRISPRn-RT112,sizeFactor,RPS19,RPS19-3,T0,T0_1,3067.5242616775563
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-7,T0,T0_1,3682.3273407259903
CRISPRn-RT112,sizeFactor,RPL11,RPL11-9,T0,T0_1,3521.903611200532
CRISPRn-RT112,sizeFactor,COPB1,COPB1-6,T0,T0_1,6982.605105934704
CRISPRn-RT112,sizeFactor,NUP93,NUP93-10,T0,T0_1,3354.061443315514
CRISPRn-RT112,sizeFactor,RPL9,RPL9-6,T0,T0_1,3016.5224979555896
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-4,T0,T0_1,4749.65515970751
CRISPRn-RT112,sizeFactor,RPS13,RPS13-2,T0,T0_1,4881.332440589678
CRISPRn-RT112,sizeFactor,RPS9,RPS9-8,T0,T0_1,3708.291874984446
CRISPRn-RT112,sizeFactor,NUP98,NUP98-12,T0,T0_1,4819.203019328374
CRISPRn-RT112,sizeFactor,COPS2,COPS2-4,T0,T0_1,6472.587468715037
CRISPRn-RT112,sizeFactor,COPS4,COPS4-4,T0,T0_1,4712.5629679097165
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-2,T0,T0_1,4085.7049265269993
CRISPRn-RT112,sizeFactor,RPS8,RPS8-5,T0,T0_1,4200.69072110016
CRISPRn-RT112,sizeFactor,COPS4,COPS4-7,T0,T0_1,3481.1022002229583
CRISPRn-RT112,sizeFactor,RPL6,RPL6-2,T0,T0_1,10245.790679345622
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-9,T0,T0_1,5557.337636104473
CRISPRn-RT112,sizeFactor,RPS9,RPS9-4,T0,T0_1,3240.930258332243
CRISPRn-RT112,sizeFactor,RPS13,RPS13-7,T0,T0_1,3168.6004843265446
CRISPRn-RT112,sizeFactor,RPS13,RPS13-6,T0,T0_1,4405.625080782972
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-5,T0,T0_1,5122.431687275339
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-11,T0,T0_1,4920.279241977362
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-2,T0,T0_1,4650.433546648412
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-3,T0,T0_1,3328.0969090570584
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-5,T0,T0_1,4155.252786147863
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-18,T0,T0_1,3760.2209435013574
CRISPRn-RT112,sizeFactor,POLA1,POLA1-5,T0,T0_1,5143.75969755907
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-1,T0,T0_1,4228.509864948505
CRISPRn-RT112,sizeFactor,RPL30,RPL30-1,T0,T0_1,3531.1766591499804
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-4,T0,T0_1,3020.2317171353693
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-3,T0,T0_1,3737.965628422681
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-7,T0,T0_1,3040.632422624156
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-7,T0,T0_1,3857.5879469705665
CRISPRn-RT112,sizeFactor,RPL27,RPL27-2,T0,T0_1,3895.6074435633054
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-5,T0,T0_1,3987.410618262845
CRISPRn-RT112,sizeFactor,RPS13,RPS13-5,T0,T0_1,4473.318330813945
CRISPRn-RT112,sizeFactor,RPS9,RPS9-2,T0,T0_1,2819.933881427282
CRISPRn-RT112,sizeFactor,COPB1,COPB1-1,T0,T0_1,3721.274142113674
CRISPRn-RT112,sizeFactor,RPL34,RPL34-7,T0,T0_1,3347.5703097509004
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-1,T0,T0_1,3990.19253264768
CRISPRn-RT112,sizeFactor,COPS2,COPS2-9,T0,T0_1,3901.1712723329742
CRISPRn-RT112,sizeFactor,NUP133,NUP133-6,T0,T0_1,3421.7546933464882
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-6,T0,T0_1,2790.260127989047
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-15,T0,T0_1,3309.5508131581614
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-1,T0,T0_1,3639.6713201585276
CRISPRn-RT112,sizeFactor,COPS8,COPS8-10,T0,T0_1,4328.6587828025495
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-5,T0,T0_1,3291.0047172592645
CRISPRn-RT112,sizeFactor,COPS6,COPS6-8,T0,T0_1,4530.811228100526
CRISPRn-RT112,sizeFactor,NUP98,NUP98-2,T0,T0_1,3496.8663817370207
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-4,T0,T0_1,5137.268563994457
CRISPRn-RT112,sizeFactor,COPS4,COPS4-1,T0,T0_1,3086.9976623713983
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-6,T0,T0_1,5810.491845124416
CRISPRn-RT112,sizeFactor,RPL5,RPL5-2,T0,T0_1,3827.9141935323314
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-2,T0,T0_1,3881.6978716391327
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-4,T0,T0_1,3270.604011770478
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-12,T0,T0_1,3667.490464006873
CRISPRn-RT112,sizeFactor,NUP205,NUP205-5,T0,T0_1,3393.935549498143
CRISPRn-RT112,sizeFactor,POLA1,POLA1-4,T0,T0_1,5285.637331185632
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-23,T0,T0_1,3410.62703580715
CRISPRn-RT112,sizeFactor,COPB1,COPB1-5,T0,T0_1,4846.094858381774
CRISPRn-RT112,sizeFactor,RPS11,RPS11-7,T0,T0_1,6250.961622723219
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-11,T0,T0_1,3987.410618262845
CRISPRn-RT112,sizeFactor,NUP54,NUP54-11,T0,T0_1,3918.7900634369266
CRISPRn-RT112,sizeFactor,RPS19,RPS19-5,T0,T0_1,3612.7794811051267
CRISPRn-RT112,sizeFactor,RPS19,RPS19-7,T0,T0_1,2433.2477819352803
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-7,T0,T0_1,1993.7053091314226
CRISPRn-RT112,sizeFactor,NUP98,NUP98-14,T0,T0_1,4314.749210878376
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-1,T0,T0_1,4769.128560401352
CRISPRn-RT112,sizeFactor,COPS4,COPS4-2,T0,T0_1,4019.866286085915
CRISPRn-RT112,sizeFactor,RPL5,RPL5-3,T0,T0_1,2806.024309503109
CRISPRn-RT112,sizeFactor,RPL3,RPL3-4,T0,T0_1,2764.295593730591
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-3,T0,T0_1,5944.023735596474
CRISPRn-RT112,sizeFactor,NUP205,NUP205-1,T0,T0_1,4228.509864948505
CRISPRn-RT112,sizeFactor,RPS9,RPS9-7,T0,T0_1,3090.7068815511775
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-6,T0,T0_1,2539.887833353938
CRISPRn-RT112,sizeFactor,RPL11,RPL11-10,T0,T0_1,3539.522402304484
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-4,T0,T0_1,2345.15382641552
CRISPRn-RT112,sizeFactor,RPS19,RPS19-6,T0,T0_1,7229.268181390033
CRISPRn-RT112,sizeFactor,COPB1,COPB1-2,T0,T0_1,4050.467344319095
CRISPRn-RT112,sizeFactor,NUP205,NUP205-2,T0,T0_1,5752.07164304289
CRISPRn-RT112,sizeFactor,RPL11,RPL11-5,T0,T0_1,2762.4409841407014
CRISPRn-RT112,sizeFactor,NUP98,NUP98-1,T0,T0_1,4930.479594721755
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-12,T0,T0_1,3374.462148804301
CRISPRn-RT112,sizeFactor,COPB1,COPB1-7,T0,T0_1,2521.341737455041
CRISPRn-RT112,sizeFactor,RPL9,RPL9-9,T0,T0_1,2544.524357328662
CRISPRn-RT112,sizeFactor,RPL36,RPL36-10,T0,T0_1,2634.4729224383123
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-8,T0,T0_1,3085.1430527815082
CRISPRn-RT112,sizeFactor,COPS8,COPS8-4,T0,T0_1,5234.635567463665
CRISPRn-RT112,sizeFactor,COPS8,COPS8-12,T0,T0_1,3110.1802822450195
CRISPRn-RT112,sizeFactor,NUP133,NUP133-2,T0,T0_1,3312.332727542996
CRISPRn-RT112,sizeFactor,POLA1,POLA1-7,T0,T0_1,3633.1801865939133
CRISPRn-RT112,sizeFactor,RPL34,RPL34-3,T0,T0_1,4494.646341097677
CRISPRn-RT112,sizeFactor,COPS6,COPS6-5,T0,T0_1,2770.786727295205
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-7,T0,T0_1,2811.5881382727785
CRISPRn-RT112,sizeFactor,RPL11,RPL11-1,T0,T0_1,2276.533271589601
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-2,T0,T0_1,3048.0508609837148
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-3,T0,T0_1,4081.068402552275
CRISPRn-RT112,sizeFactor,COPA,COPA-9,T0,T0_1,3206.6199809192835
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-19,T0,T0_1,5757.635471812559
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-4,T0,T0_1,3231.6572103827943
CRISPRn-RT112,sizeFactor,RPL30,RPL30-7,T0,T0_1,4284.148152645196
CRISPRn-RT112,sizeFactor,COPA,COPA-2,T0,T0_1,3122.235244579302
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-4,T0,T0_1,2491.667984016806
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-21,T0,T0_1,4005.0294093667976
CRISPRn-RT112,sizeFactor,NUP133,NUP133-1,T0,T0_1,4823.839543303098
CRISPRn-RT112,sizeFactor,RPS8,RPS8-10,T0,T0_1,2758.731764960922
CRISPRn-RT112,sizeFactor,PSMC1,PSMC1-1,T0,T0_1,4374.096717754846
CRISPRn-RT112,sizeFactor,RPL36,RPL36-6,T0,T0_1,2181.9481825052267
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-13,T0,T0_1,4177.508101226539
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-6,T0,T0_1,6559.754119439853
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-10,T0,T0_1,5171.578841407416
CRISPRn-RT112,sizeFactor,RPL3,RPL3-9,T0,T0_1,5075.139142733152
CRISPRn-RT112,sizeFactor,COPS2,COPS2-6,T0,T0_1,2707.7300012389555
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-14,T0,T0_1,2724.421487547963
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-2,T0,T0_1,5872.62126638572
CRISPRn-RT112,sizeFactor,RPS11,RPS11-3,T0,T0_1,4461.263368479663
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-8,T0,T0_1,2564.9250628174486
CRISPRn-RT112,sizeFactor,RPL35A,RPL35A-2,T0,T0_1,4470.536416429111
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-8,T0,T0_1,4040.2669915747015
CRISPRn-RT112,sizeFactor,RPS13,RPS13-10,T0,T0_1,2422.120124395942
CRISPRn-RT112,sizeFactor,RPL30,RPL30-4,T0,T0_1,6111.865903481492
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-1,T0,T0_1,3340.1518713913415
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-3,T0,T0_1,2351.644959980134
CRISPRn-RT112,sizeFactor,RPS9,RPS9-3,T0,T0_1,2283.95170994916
CRISPRn-RT112,sizeFactor,COPS6,COPS6-2,T0,T0_1,2605.7264737950222
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-1,T0,T0_1,5621.321666955667
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-9,T0,T0_1,6633.011198240496
CRISPRn-RT112,sizeFactor,COPA,COPA-1,T0,T0_1,3352.2068337256246
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-2,T0,T0_1,3899.3166627430846
CRISPRn-RT112,sizeFactor,RPS7,RPS7-3,T0,T0_1,4706.071834345103
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-18,T0,T0_1,2528.7601758145997
CRISPRn-RT112,sizeFactor,COPB1,COPB1-8,T0,T0_1,3189.928494610276
CRISPRn-RT112,sizeFactor,NUP98,NUP98-6,T0,T0_1,6688.649485937187
CRISPRn-RT112,sizeFactor,COPA,COPA-6,T0,T0_1,1850.9003707099162
CRISPRn-RT112,sizeFactor,NUP205,NUP205-7,T0,T0_1,4120.015203939958
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-4,T0,T0_1,2831.988843761565
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-9,T0,T0_1,3288.2228028744303
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-14,T0,T0_1,3065.6696520876667
CRISPRn-RT112,sizeFactor,NUP98,NUP98-7,T0,T0_1,3930.8450257712097
CRISPRn-RT112,sizeFactor,COPA,COPA-4,T0,T0_1,2752.240631396308
CRISPRn-RT112,sizeFactor,POLR2D,POLR2D-6,T0,T0_1,3232.5845151777394
CRISPRn-RT112,sizeFactor,NUP54,NUP54-15,T0,T0_1,5173.433450997306
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-6,T0,T0_1,2539.887833353938
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-9,T0,T0_1,5639.867762854564
CRISPRn-RT112,sizeFactor,RPS8,RPS8-6,T0,T0_1,2184.7300968900613
CRISPRn-RT112,sizeFactor,RPL9,RPL9-2,T0,T0_1,3646.1624537231414
CRISPRn-RT112,sizeFactor,PSMC4,PSMC4-7,T0,T0_1,3915.080844257147
CRISPRn-RT112,sizeFactor,COPA,COPA-10,T0,T0_1,4636.5239747242385
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-3,T0,T0_1,3831.623412712111
CRISPRn-RT112,sizeFactor,RPS27,RPS27-1,T0,T0_1,3153.7636076074273
CRISPRn-RT112,sizeFactor,POLA1,POLA1-1,T0,T0_1,1836.9907987857434
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-8,T0,T0_1,2382.246018213314
CRISPRn-RT112,sizeFactor,RPL34,RPL34-4,T0,T0_1,1667.2940213108363
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-3,T0,T0_1,4246.128656052458
CRISPRn-RT112,sizeFactor,RPL27,RPL27-1,T0,T0_1,2919.1554944863806
CRISPRn-RT112,sizeFactor,COPA,COPA-7,T0,T0_1,2829.2069293767304
CRISPRn-RT112,sizeFactor,NUP133,NUP133-3,T0,T0_1,3353.1341385205696
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-1,T0,T0_1,5033.410426960633
CRISPRn-RT112,sizeFactor,RPL11,RPL11-3,T0,T0_1,2256.1325661008145
CRISPRn-RT112,sizeFactor,NUP54,NUP54-8,T0,T0_1,4630.032841159625
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-3,T0,T0_1,2775.423251269929
CRISPRn-RT112,sizeFactor,NUP205,NUP205-8,T0,T0_1,1607.946514434366
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-19,T0,T0_1,3746.3113715771847
CRISPRn-RT112,sizeFactor,NUP98,NUP98-5,T0,T0_1,3099.052624705681
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-13,T0,T0_1,1940.8489358195663
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-16,T0,T0_1,1697.8950795440162
CRISPRn-RT112,sizeFactor,COPS4,COPS4-8,T0,T0_1,3002.612926031417
CRISPRn-RT112,sizeFactor,COPS6,COPS6-6,T0,T0_1,2590.8895970759045
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-20,T0,T0_1,1387.2479732374923
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-17,T0,T0_1,2426.7566483706664
CRISPRn-RT112,sizeFactor,PSMB3,PSMB3-1,T0,T0_1,5729.816327964214
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-9,T0,T0_1,3796.3858305042068
CRISPRn-RT112,sizeFactor,RPL36,RPL36-2,T0,T0_1,2703.0934772642313
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-4,T0,T0_1,2525.0509566348205
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-6,T0,T0_1,2771.71403209015
CRISPRn-RT112,sizeFactor,POLR2A,POLR2A-10,T0,T0_1,4051.3946491140396
CRISPRn-RT112,sizeFactor,RPL36,RPL36-7,T0,T0_1,3225.1660768181805
CRISPRn-RT112,sizeFactor,RPS19,RPS19-9,T0,T0_1,1493.8880246561498
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-8,T0,T0_1,2480.5403264774677
CRISPRn-RT112,sizeFactor,COPS6,COPS6-7,T0,T0_1,4392.642813653743
CRISPRn-RT112,sizeFactor,PSMB2,PSMB2-9,T0,T0_1,4432.516919836372
CRISPRn-RT112,sizeFactor,COPB1,COPB1-4,T0,T0_1,2798.6058711435503
CRISPRn-RT112,sizeFactor,NUP93,NUP93-8,T0,T0_1,4955.516824185266
CRISPRn-RT112,sizeFactor,RPS8,RPS8-2,T0,T0_1,2043.7797680584445
CRISPRn-RT112,sizeFactor,RPS7,RPS7-1,T0,T0_1,4030.0666388303084
CRISPRn-RT112,sizeFactor,POLR2F,POLR2F-8,T0,T0_1,6926.039513443068
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-6,T0,T0_1,3900.2439675380297
CRISPRn-RT112,sizeFactor,NUP93,NUP93-11,T0,T0_1,1594.964247305138
CRISPRn-RT112,sizeFactor,PSMD7,PSMD7-10,T0,T0_1,2377.60949423859
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-2,T0,T0_1,1845.3365419402471
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-2,T0,T0_1,2972.939172593182
CRISPRn-RT112,sizeFactor,RPL18A,RPL18A-3,T0,T0_1,4834.039896047491
CRISPRn-RT112,sizeFactor,PSMA3,PSMA3-10,T0,T0_1,3231.6572103827943
CRISPRn-RT112,sizeFactor,RPS3A,RPS3A-5,T0,T0_1,2939.556199975167
CRISPRn-RT112,sizeFactor,RPS27,RPS27-3,T0,T0_1,5518.390834716789
CRISPRn-RT112,sizeFactor,COPS2,COPS2-3,T0,T0_1,6012.644290422393
CRISPRn-RT112,sizeFactor,COPB1,COPB1-10,T0,T0_1,1844.409237145302
CRISPRn-RT112,sizeFactor,RPL5,RPL5-8,T0,T0_1,4025.430114855584
CRISPRn-RT112,sizeFactor,PSMC2,PSMC2-12,T0,T0_1,4376.878632139681
CRISPRn-RT112,sizeFactor,COPS4,COPS4-3,T0,T0_1,2849.607634865517
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-1,T0,T0_1,2050.2709016230583
CRISPRn-RT112,sizeFactor,NUP93,NUP93-9,T0,T0_1,2336.8080832610162
CRISPRn-RT112,sizeFactor,COPS4,COPS4-10,T0,T0_1,2542.6697477387725
CRISPRn-RT112,sizeFactor,PSMD1,PSMD1-7,T0,T0_1,3657.2901112624795
CRISPRn-RT112,sizeFactor,PSMD11,PSMD11-4,T0,T0_1,1609.8011240242556
CRISPRn-RT112,sizeFactor,PSMD6,PSMD6-16,T0,T0_1,2212.5492407384068
CRISPRn-RT112,sizeFactor,NUP133,NUP133-5,T0,T0_1,2372.0456654689206
CRISPRn-RT112,sizeFactor,RPL3,RPL3-10,T0,T0_1,1248.152253995765
CRISPRn-RT112,sizeFactor,COPS8,COPS8-2,T0,T0_1,2191.221230454675
CRISPRn-RT112,sizeFactor,RPS27,RPS27-5,T0,T0_1,3763.002857886192
CRISPRn-RT112,sizeFactor,RPS13,RPS13-1,T0,T0_1,1537.4713500185576
CRISPRn-RT112,sizeFactor,RPL30,RPL30-5,T0,T0_1,1899.1202200470482
CRISPRn-RT112,sizeFactor,NUP93,NUP93-6,T0,T0_1,1143.3668121669973
CRISPRn-RT112,sizeFactor,COPS6,COPS6-1,T0,T0_1,3818.641145582883
CRISPRn-RT112,sizeFactor,COPZ1,COPZ1-3,T0,T0_1,1058.9820758270162
