group_id	items_in_group	lo_value	p	FDR	goodsgrna
IL1F10	10	5.0655e-01	7.9309e-01	0.999995	5
RPS7	8	5.2559e-01	7.7954e-01	0.999995	4
MRGPRD	10	8.9934e-01	9.6956e-01	0.999995	3
KRT25	10	9.1155e-01	9.7404e-01	0.999995	3
LYZL6	10	9.5735e-01	9.8465e-01	0.999995	2
OR9Q2	10	9.8128e-01	9.9271e-01	0.999995	2
HTR3D	10	9.9493e-01	9.9586e-01	0.999995	1
NPSR1	10	9.9598e-01	9.9638e-01	0.999995	1
OTUD6A	10	9.9605e-01	9.9641e-01	0.999995	1
CRYGB	10	9.9620e-01	9.9652e-01	0.999995	1
PIWIL3	10	9.9683e-01	9.9690e-01	0.999995	1
DMRTC2	10	9.9700e-01	9.9701e-01	0.999995	1
IL22	10	9.9706e-01	9.9707e-01	0.999995	1
TPH2	10	9.9717e-01	9.9714e-01	0.999995	1
OC90	10	9.9756e-01	9.9749e-01	0.999995	1
RXFP2	10	9.9774e-01	9.9766e-01	0.999995	1
RPTN	10	9.9779e-01	9.9772e-01	0.999995	1
OLIG2	10	9.9783e-01	9.9776e-01	0.999995	1
NPHS2	10	9.9795e-01	9.9785e-01	0.999995	1
DMRTB1	10	9.9799e-01	9.9792e-01	0.999995	1
RNASE9	11	9.9814e-01	9.9844e-01	0.999995	1
LHX5	10	9.9850e-01	9.9843e-01	0.999995	0
LUZP4	10	9.9862e-01	9.9852e-01	0.999995	0
CABP5	10	9.9870e-01	9.9868e-01	0.999995	0
ADH7	10	9.9887e-01	9.9885e-01	0.999995	0
KRT74	10	9.9892e-01	9.9888e-01	0.999995	0
FAM71B	10	9.9906e-01	9.9899e-01	0.999995	0
SPATA16	10	9.9917e-01	9.9908e-01	0.999995	0
TAAR8	10	9.9921e-01	9.9912e-01	0.999995	0
CYP7A1	10	9.9926e-01	9.9918e-01	0.999995	0
KRT9	10	9.9929e-01	9.9921e-01	0.999995	0
FCRL4	10	9.9932e-01	9.9924e-01	0.999995	0
SAGE1	10	9.9936e-01	9.9928e-01	0.999995	0
POU4F2	10	9.9943e-01	9.9935e-01	0.999995	0
TAS2R13	10	9.9956e-01	9.9949e-01	0.999995	0
TRIM42	10	9.9967e-01	9.9958e-01	0.999995	0
OR12D2	10	9.9975e-01	9.9970e-01	0.999995	0
MAGEB3	10	9.9979e-01	9.9975e-01	0.999995	0
ABCG8	10	9.9981e-01	9.9976e-01	0.999995	0
VN1R2	10	9.9982e-01	9.9977e-01	0.999995	0
NLRP5	10	9.9987e-01	9.9984e-01	0.999995	0
KRT77	10	9.9996e-01	9.9995e-01	0.999995	0
PLA2G2E	10	9.9996e-01	9.9995e-01	0.999995	0
DEFB129	10	9.9997e-01	9.9996e-01	0.999995	0
TAS2R9	10	9.9998e-01	9.9998e-01	0.999995	0
TAAR1	10	9.9999e-01	1.0000e+00	0.999995	0
TGM6	14	9.9999e-01	1.0000e+00	0.999995	0
OR52E8	10	1.0000e+00	1.0000e+00	0.999995	0
