id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
COPS6	10	0.0023207	0.014192	0.052795	25	9	-1.069	0.99882	0.99879	0.999995	76	1	-1.069
RPS3A	6	0.0030268	0.01549	0.055407	26	6	-1.4353	0.99697	0.99688	0.999995	75	0	-1.4353
POLA1	10	0.0032254	0.019044	0.065597	27	9	-1.2319	0.99929	0.99921	0.999995	77	0	-1.2319
COPS8	16	0.0050026	0.036526	0.110627	28	13	-0.34433	0.11782	0.40154	0.868444	43	3	-0.34433
RPS11	10	0.0053475	0.030726	0.102053	29	9	-0.97687	0.90617	0.97406	0.999995	63	1	-0.97687
RPL35A	7	0.0077202	0.036796	0.110627	30	5	-2.3599	0.95161	0.97498	0.999995	68	1	-2.3599
COPZ1	16	0.0081778	0.054288	0.14425	31	12	-0.60908	0.52114	0.85303	0.999995	53	4	-0.60908
RPS9	10	0.0089913	0.047798	0.138913	32	7	-2.6103	0.24541	0.55654	0.999995	48	3	-2.6103
RPS27	5	0.0093534	0.036876	0.110627	33	5	-0.77567	0.99065	0.99057	0.999995	74	0	-0.77567
NUP133	10	0.010453	0.053778	0.14425	34	8	-1.3713	0.19396	0.48948	0.968539	47	2	-1.3713
RPL34	7	0.012001	0.05281	0.14425	35	6	-2.4983	0.97496	0.9816	0.999995	70	1	-2.4983
PSMD1	12	0.014721	0.078129	0.201834	36	9	-0.81897	0.58269	0.86498	0.999995	54	2	-0.81897
RPL5	10	0.022332	0.10236	0.257284	37	8	-0.80257	0.95676	0.98726	0.999995	69	2	-0.80257
RPL9	10	0.028708	0.12597	0.308299	38	8	-1.2053	0.9835	0.99394	0.999995	72	2	-1.2053
RPL30	10	0.029598	0.12929	0.308299	39	8	-0.6517	0.70521	0.9044	0.999995	55	2	-0.6517
PSMB3	10	0.033783	0.14416	0.327525	40	7	-0.7286	0.72983	0.91466	0.999995	57	2	-0.7286
PSMA3	10	0.033849	0.14439	0.327525	41	6	-1.2008	0.90279	0.97306	0.999995	62	3	-1.2008
COPS2	10	0.089094	0.29012	0.627464	42	6	-0.83765	0.97711	0.99192	0.999995	71	2	-0.83765
RPL6	2	0.10239	0.17528	0.388126	43	2	-1.6197	0.89761	0.89821	0.999995	61	0	-1.6197
RPS24	13	0.16509	0.46289	0.978381	44	8	-0.34774	0.89731	0.98117	0.999995	60	4	-0.34774
RPL27	10	0.3311	0.64824	0.999995	45	5	-0.27805	0.15626	0.43181	0.892407	45	4	-0.27805
IL1F10	10	0.50655	0.79309	0.999995	46	5	-0.04595	0.91829	0.97743	0.999995	64	3	-0.04595
RPS7	8	0.52559	0.77954	0.999995	47	4	0.023435	0.32161	0.62019	0.999995	50	4	0.023435
MRGPRD	10	0.89934	0.96956	0.999995	48	3	0.081191	0.30765	0.63185	0.999995	49	6	0.081191
KRT25	10	0.91155	0.97404	0.999995	49	3	0.18452	0.035586	0.15102	0.353563	39	7	0.18452
LYZL6	10	0.95735	0.98465	0.999995	50	2	-0.0052863	0.71207	0.90745	0.999995	56	4	-0.0052863
OR9Q2	10	0.98128	0.99271	0.999995	51	2	0.2072	0.045241	0.18392	0.417182	41	7	0.2072
HTR3D	10	0.99493	0.99586	0.999995	52	1	0.13951	0.15448	0.42812	0.892407	44	7	0.13951
NPSR1	10	0.99598	0.99638	0.999995	53	1	0.27168	0.00057007	0.0039786	0.020556	18	9	0.27168
OTUD6A	10	0.99605	0.99641	0.999995	54	1	0.17645	0.035829	0.15207	0.353563	40	7	0.17645
CRYGB	10	0.9962	0.99652	0.999995	55	1	0.28313	0.0044225	0.025724	0.082493	29	9	0.28313
PIWIL3	10	0.99683	0.9969	0.999995	56	1	0.19411	0.030051	0.13187	0.331464	37	8	0.19411
DMRTC2	10	0.997	0.99701	0.999995	57	1	0.078798	0.047089	0.18974	0.420138	42	8	0.078798
IL22	10	0.99706	0.99707	0.999995	58	1	0.18667	0.0049584	0.028629	0.08875	30	9	0.18667
TPH2	10	0.99717	0.99714	0.999995	59	1	0.16511	0.0078518	0.043794	0.116368	35	9	0.16511
OC90	10	0.99756	0.99749	0.999995	60	1	0.13085	0.0098603	0.054338	0.140372	36	9	0.13085
RXFP2	10	0.99774	0.99766	0.999995	61	1	0.25028	0.0029392	0.017796	0.063656	26	9	0.25028
RPTN	10	0.99779	0.99772	0.999995	62	1	0.19385	0.0066768	0.037714	0.10316	34	9	0.19385
OLIG2	10	0.99783	0.99776	0.999995	63	1	0.2229	0.0057627	0.033162	0.096325	32	9	0.2229
NPHS2	10	0.99795	0.99785	0.999995	64	1	0.28479	0.0037338	0.022129	0.076223	27	8	0.28479
DMRTB1	10	0.99799	0.99792	0.999995	65	1	0.11217	0.16513	0.44795	0.905646	46	7	0.11217
RNASE9	11	0.99814	0.99844	0.999995	66	1	0.16625	0.0055323	0.03418	0.096325	31	10	0.16625
LHX5	10	0.9985	0.99843	0.999995	67	0	0.23976	0.0011471	0.0078623	0.030467	24	9	0.23976
LUZP4	10	0.99862	0.99852	0.999995	68	0	0.25101	0.0028497	0.017347	0.063656	25	9	0.25101
CABP5	10	0.9987	0.99868	0.999995	69	0	0.27224	0.0058707	0.033811	0.096325	33	9	0.27224
ADH7	10	0.99887	0.99885	0.999995	70	0	0.24891	0.0042529	0.024765	0.082256	28	9	0.24891
KRT74	10	0.99892	0.99888	0.999995	71	0	0.16921	0.031921	0.13841	0.338746	38	8	0.16921
FAM71B	10	0.99906	0.99899	0.999995	72	0	0.34382	4.8547e-06	6.4896e-05	0.001973	2	9	0.34382
SPATA16	10	0.99917	0.99908	0.999995	73	0	0.1593	0.00082563	0.0059155	0.023919	23	10	0.1593
TAAR8	10	0.99921	0.99912	0.999995	74	0	0.31645	0.00019391	0.0013928	0.010794	12	10	0.31645
CYP7A1	10	0.99926	0.99918	0.999995	75	0	0.19432	0.0007423	0.0052366	0.022136	22	10	0.19432
KRT9	10	0.99929	0.99921	0.999995	76	0	0.17717	0.00071115	0.004957	0.021953	21	10	0.17717
FCRL4	10	0.99932	0.99924	0.999995	77	0	0.16349	0.00068118	0.0047573	0.021953	20	10	0.16349
SAGE1	10	0.99936	0.99928	0.999995	78	0	0.28207	0.00063836	0.0044778	0.021918	19	10	0.28207
POU4F2	10	0.99943	0.99935	0.999995	79	0	0.37547	0.00028992	0.0020916	0.012968	15	10	0.37547
TAS2R13	10	0.99956	0.99949	0.999995	80	0	0.26451	0.00043823	0.0031599	0.017287	17	10	0.26451
TRIM42	10	0.99967	0.99958	0.999995	81	0	0.22948	0.0003331	0.0024111	0.014015	16	10	0.22948
OR12D2	10	0.99975	0.9997	0.999995	82	0	0.24223	0.00025124	0.0017522	0.011639	14	10	0.24223
MAGEB3	10	0.99979	0.99975	0.999995	83	0	0.30395	0.00020724	0.0015225	0.010892	13	10	0.30395
ABCG8	10	0.99981	0.99976	0.999995	84	0	0.25914	0.00019261	0.0013828	0.010794	11	10	0.25914
VN1R2	10	0.99982	0.99977	0.999995	85	0	0.30307	0.00018339	0.0012929	0.010794	10	10	0.30307
NLRP5	10	0.99987	0.99984	0.999995	86	0	0.38847	2.6281e-05	0.00017472	0.002454	6	10	0.38847
KRT77	10	0.99996	0.99995	0.999995	87	0	0.24464	3.7136e-05	0.00029453	0.003043	9	10	0.24464
PLA2G2E	10	0.99996	0.99995	0.999995	88	0	0.26679	3.5048e-05	0.00028454	0.003043	8	10	0.26679
DEFB129	10	0.99997	0.99996	0.999995	89	0	0.27049	2.7709e-05	0.0001847	0.002454	7	10	0.27049
TAS2R9	10	0.99998	0.99998	0.999995	90	0	0.25992	2.0493e-05	0.00013478	0.002454	5	10	0.25992
TAAR1	10	0.99999	1.0	0.999995	91	0	0.31228	1.1252e-05	8.4863e-05	0.001973	4	10	0.31228
TGM6	14	0.99999	1.0	0.999995	92	0	0.30864	5.4794e-06	5.4912e-05	0.001973	3	14	0.30864
OR52E8	10	1.0	1.0	0.999995	93	0	0.37798	9.3695e-08	4.992e-06	0.000464	1	10	0.37798
