sgrna	symbol	pool	plow	prob	chosen
RPL11_RPL11-8	RPL11	list	-48.80580446619869	1	1
RPL11_RPL11-10	RPL11	list	-48.10638284125625	1	1
PSMB3_PSMB3-6	PSMB3	list	-48.00194226571524	1	1
COPA_COPA-4	COPA	list	-47.474539047073684	1	1
PSMB2_PSMB2-14	PSMB2	list	-47.09987060962763	1	1
PSMB2_PSMB2-2	PSMB2	list	-46.807433118748996	1	1
RPL5_RPL5-5	RPL5	list	-46.51351856991648	1	1
COPZ1_COPZ1-17	COPZ1	list	-46.34127115306949	1	1
PSMC1_PSMC1-9	PSMC1	list	-46.24503840321868	1	1
RPS19_RPS19-2	RPS19	list	-46.0318025418374	1	1
PSMD6_PSMD6-8	PSMD6	list	-45.367748262476425	1	1
NUP133_NUP133-3	NUP133	list	-45.239794048015575	1	1
PSMD6_PSMD6-4	PSMD6	list	-45.1616865488522	1	1
RPS9_RPS9-4	RPS9	list	-45.15163553522036	1	1
RPS9_RPS9-2	RPS9	list	-44.625174452670244	1	1
POLR2F_POLR2F-2	POLR2F	list	-44.58775143438147	1	1
NUP133_NUP133-1	NUP133	list	-44.32573967528769	1	1
NUP133_NUP133-2	NUP133	list	-44.223114041025326	1	1
PSMA3_PSMA3-1	PSMA3	list	-44.08978763312155	1	1
PSMD11_PSMD11-9	PSMD11	list	-44.089239328261684	1	1
PSMB2_PSMB2-3	PSMB2	list	-43.811208789702995	1	1
PSMB3_PSMB3-3	PSMB3	list	-43.36322597595674	1	1
POLR2A_POLR2A-10	POLR2A	list	-43.031038192114856	1	1
PSMA3_PSMA3-6	PSMA3	list	-42.82696697952125	1	1
RPL18A_RPL18A-6	RPL18A	list	-42.61047726787588	1	1
RPS13_RPS13-9	RPS13	list	-42.572438058424744	1	1
PSMB2_PSMB2-23	PSMB2	list	-42.25525041233556	1	1
RPL36_RPL36-1	RPL36	list	-41.061295710472194	1	1
POLR2D_POLR2D-4	POLR2D	list	-41.042628261659985	1	1
POLR2A_POLR2A-1	POLR2A	list	-40.772688992954734	1	1
PSMB2_PSMB2-18	PSMB2	list	-40.71984233245902	1	1
PSMB2_PSMB2-5	PSMB2	list	-40.658917717975235	1	1
PSMD6_PSMD6-13	PSMD6	list	-40.357516982036636	1	1
POLA1_POLA1-4	POLA1	list	-40.314423184306506	1	1
PSMB2_PSMB2-16	PSMB2	list	-40.279558670873094	1	1
POLA1_POLA1-5	POLA1	list	-40.105682301468434	1	1
NUP93_NUP93-11	NUP93	list	-39.90624548617742	1	1
PSMB2_PSMB2-15	PSMB2	list	-39.756761335990625	1	1
NUP54_NUP54-15	NUP54	list	-39.40734171653786	1	1
COPA_COPA-10	COPA	list	-38.933349955702724	1	1
NUP93_NUP93-7	NUP93	list	-38.923488322661434	1	1
RPS9_RPS9-7	RPS9	list	-38.84802060237792	1	1
RPL9_RPL9-6	RPL9	list	-38.83346788821616	1	1
NUP98_NUP98-5	NUP98	list	-38.46228695672322	1	1
NUP93_NUP93-2	NUP93	list	-38.3200673302593	1	1
RPS13_RPS13-8	RPS13	list	-38.13415366510847	1	1
RPL11_RPL11-9	RPL11	list	-37.96958715261669	1	1
RPL11_RPL11-7	RPL11	list	-37.782273341250104	1	1
RPS9_RPS9-8	RPS9	list	-37.73217428812829	1	1
RPS27_RPS27-1	RPS27	list	-37.614786162519934	1	1
COPZ1_COPZ1-2	COPZ1	list	-37.58197266424154	1	1
RPL3_RPL3-4	RPL3	list	-37.52400357052583	1	1
PSMD6_PSMD6-6	PSMD6	list	-37.40232954673103	1	1
COPA_COPA-6	COPA	list	-37.236885247114515	1	1
NUP93_NUP93-10	NUP93	list	-37.051368759069625	1	1
PSMB2_PSMB2-13	PSMB2	list	-36.953639572752216	1	1
PSMB2_PSMB2-4	PSMB2	list	-36.85352534849591	1	1
COPS6_COPS6-5	COPS6	list	-36.829072191296675	1	1
RPS19_RPS19-3	RPS19	list	-36.751666949151954	1	1
RPL11_RPL11-2	RPL11	list	-36.750913614203256	1	1
RPS11_RPS11-2	RPS11	list	-36.66699522654829	1	1
RPL5_RPL5-3	RPL5	list	-36.5172958948098	1	1
POLR2D_POLR2D-8	POLR2D	list	-36.175122092368106	1	1
RPS9_RPS9-3	RPS9	list	-35.97229007837202	1	1
COPS4_COPS4-9	COPS4	list	-35.85022175203032	1	1
RPL36_RPL36-6	RPL36	list	-35.75892347495433	1	1
COPS4_COPS4-7	COPS4	list	-35.23450252240079	1	1
NUP205_NUP205-1	NUP205	list	-34.78144186592445	1	1
COPZ1_COPZ1-3	COPZ1	list	-33.76809574864853	1	1
NUP133_NUP133-5	NUP133	list	-33.6651766062828	1	1
RPS13_RPS13-2	RPS13	list	-33.20566727437162	1	1
RPL27_RPL27-10	RPL27	list	-33.08061252335308	1	1
RPS13_RPS13-5	RPS13	list	-33.03296480018109	1	1
RPS9_RPS9-10	RPS9	list	-32.97563651069012	1	1
POLR2F_POLR2F-8	POLR2F	list	-32.87956384488776	1	1
PSMD11_PSMD11-8	PSMD11	list	-32.8784659213779	1	1
POLR2D_POLR2D-9	POLR2D	list	-32.786066309000915	1	1
RPS11_RPS11-3	RPS11	list	-32.59773092763439	1	1
RPL18A_RPL18A-4	RPL18A	list	-32.52658331614503	1	1
PSMA3_PSMA3-2	PSMA3	list	-32.347691271629856	1	1
POLR2A_POLR2A-4	POLR2A	list	-32.13325946763031	1	1
RPL11_RPL11-1	RPL11	list	-31.786366768720075	1	1
RPS19_RPS19-6	RPS19	list	-31.188423280348026	1	1
PSMC4_PSMC4-7	PSMC4	list	-30.649927029968623	1	1
COPS8_COPS8-12	COPS8	list	-30.40475482496442	1	1
PSMD11_PSMD11-5	PSMD11	list	-30.37952814207077	1	1
RPS24_RPS24-5	RPS24	list	-30.200609997895977	1	1
RPL30_RPL30-8	RPL30	list	-29.108011771048965	1	1
PSMD6_PSMD6-5	PSMD6	list	-29.103079823207366	1	1
COPB1_COPB1-2	COPB1	list	-28.900557976594712	1	1
NUP93_NUP93-1	NUP93	list	-28.870803080692685	1	1
NUP205_NUP205-10	NUP205	list	-28.755150732232657	1	1
PSMC4_PSMC4-6	PSMC4	list	-28.74048847280847	1	1
RPL30_RPL30-4	RPL30	list	-28.531461300501185	1	1
PSMD7_PSMD7-8	PSMD7	list	-28.52125774618028	1	1
PSMC1_PSMC1-4	PSMC1	list	-28.447448345996868	1	1
PSMD11_PSMD11-4	PSMD11	list	-28.306162691272128	1	1
PSMD7_PSMD7-7	PSMD7	list	-28.277099260250342	1	1
PSMC4_PSMC4-9	PSMC4	list	-28.275625248746397	1	1
PSMC1_PSMC1-1	PSMC1	list	-28.108745949678056	1	1
PSMD6_PSMD6-1	PSMD6	list	-27.91898086342687	1	1
COPS4_COPS4-1	COPS4	list	-27.90593847580322	1	1
PSMC4_PSMC4-2	PSMC4	list	-27.90105385056945	1	1
PSMD6_PSMD6-12	PSMD6	list	-27.809237923504348	1	1
RPL3_RPL3-11	RPL3	list	-27.65010206261657	1	1
RPS8_RPS8-2	RPS8	list	-27.64463683035088	1	1
RPS7_RPS7-3	RPS7	list	-27.563929389050184	1	1
NUP54_NUP54-4	NUP54	list	-27.469776141450566	1	1
RPS24_RPS24-7	RPS24	list	-27.40495825758171	1	1
RPS19_RPS19-9	RPS19	list	-27.272338004614433	1	1
RPS19_RPS19-5	RPS19	list	-27.269390435472328	1	1
RPS13_RPS13-10	RPS13	list	-27.26843162231127	1	1
PSMD7_PSMD7-4	PSMD7	list	-27.208346687614327	1	1
COPZ1_COPZ1-4	COPZ1	list	-27.06529900436999	1	1
PSMC2_PSMC2-2	PSMC2	list	-27.021678696334234	1	1
COPB1_COPB1-1	COPB1	list	-26.69442756351437	1	1
PSMC4_PSMC4-5	PSMC4	list	-26.564422415939507	1	1
RPS13_RPS13-7	RPS13	list	-26.473149764192062	1	1
POLR2D_POLR2D-3	POLR2D	list	-26.187172107869152	1	1
RPL5_RPL5-2	RPL5	list	-26.157537945098916	1	1
COPS8_COPS8-10	COPS8	list	-26.074414033817167	1	1
RPL36_RPL36-2	RPL36	list	-25.930812021424714	1	1
RPL36_RPL36-10	RPL36	list	-25.86070244675755	1	1
COPS2_COPS2-4	COPS2	list	-25.710074822529297	1	1
POLR2D_POLR2D-6	POLR2D	list	-25.661094074443305	1	1
COPZ1_COPZ1-18	COPZ1	list	-25.376272367438755	1	1
PSMC2_PSMC2-3	PSMC2	list	-25.253318086094513	1	1
NUP98_NUP98-8	NUP98	list	-25.239811251160543	1	1
COPS4_COPS4-3	COPS4	list	-25.14017585502473	1	1
POLR2A_POLR2A-2	POLR2A	list	-25.01595732809408	1	1
RPL11_RPL11-4	RPL11	list	-24.943402973839692	1	1
COPA_COPA-9	COPA	list	-24.90407125533585	1	1
PSMB2_PSMB2-12	PSMB2	list	-24.41635385194757	1	1
PSMD6_PSMD6-14	PSMD6	list	-24.39616139635706	1	1
PSMC2_PSMC2-11	PSMC2	list	-24.286098307777017	1	1
POLA1_POLA1-7	POLA1	list	-24.230772693364823	1	1
RPS8_RPS8-10	RPS8	list	-24.10794835047632	1	1
PSMB2_PSMB2-9	PSMB2	list	-23.9221699700286	1	1
POLR2D_POLR2D-7	POLR2D	list	-23.790646341637142	1	1
RPS3A_RPS3A-4	RPS3A	list	-23.777019756144554	1	1
PSMD6_PSMD6-10	PSMD6	list	-23.726856324923112	1	1
COPZ1_COPZ1-11	COPZ1	list	-23.532620346767853	1	1
COPS4_COPS4-2	COPS4	list	-23.464693955529626	1	1
PSMA3_PSMA3-3	PSMA3	list	-23.46278769390152	1	1
RPL11_RPL11-5	RPL11	list	-23.446832331247144	1	1
COPS2_COPS2-9	COPS2	list	-23.038206970117457	1	1
RPS3A_RPS3A-2	RPS3A	list	-22.92457179697655	1	1
PSMD11_PSMD11-10	PSMD11	list	-22.573987039965758	1	1
COPS6_COPS6-7	COPS6	list	-22.531672783629276	1	1
RPL9_RPL9-9	RPL9	list	-22.4979417545798	1	1
PSMD6_PSMD6-19	PSMD6	list	-22.481833736001185	1	1
PSMD1_PSMD1-7	PSMD1	list	-22.453940579816418	1	1
COPA_COPA-7	COPA	list	-22.419696657413798	1	1
NUP205_NUP205-2	NUP205	list	-22.37237501923919	1	1
COPB1_COPB1-6	COPB1	list	-22.24573012627219	1	1
NUP205_NUP205-5	NUP205	list	-22.219103600034167	1	1
POLR2A_POLR2A-7	POLR2A	list	-22.12226913917879	1	1
COPA_COPA-2	COPA	list	-22.018647808061083	1	1
COPS2_COPS2-6	COPS2	list	-21.971605691247472	1	1
NUP98_NUP98-12	NUP98	list	-21.926978245064237	1	1
RPS3A_RPS3A-5	RPS3A	list	-21.852102197334062	1	1
NUP98_NUP98-1	NUP98	list	-21.741376241748565	1	1
COPS6_COPS6-2	COPS6	list	-21.730211137262515	1	1
POLR2D_POLR2D-1	POLR2D	list	-21.466989693709365	1	1
COPB1_COPB1-10	COPB1	list	-21.18961042292856	1	1
POLR2F_POLR2F-9	POLR2F	list	-21.049999290115444	1	1
RPL27_RPL27-2	RPL27	list	-20.75793473185997	1	1
POLR2A_POLR2A-9	POLR2A	list	-20.685601636188363	1	1
POLR2A_POLR2A-3	POLR2A	list	-20.52961411031058	1	1
COPS4_COPS4-8	COPS4	list	-20.503534715484694	1	1
COPS6_COPS6-6	COPS6	list	-20.256813265921494	1	1
PSMC2_PSMC2-1	PSMC2	list	-20.242346829781674	1	1
PSMD11_PSMD11-3	PSMD11	list	-20.152416778173837	1	1
PSMD7_PSMD7-9	PSMD7	list	-20.012234983502786	1	1
COPB1_COPB1-7	COPB1	list	-19.905392094126707	1	1
POLR2F_POLR2F-6	POLR2F	list	-19.75823982227384	1	1
RPL9_RPL9-2	RPL9	list	-19.758115117010636	1	1
COPS8_COPS8-4	COPS8	list	-19.748761860165498	1	1
COPS8_COPS8-9	COPS8	list	-19.529392794550017	1	1
RPS3A_RPS3A-1	RPS3A	list	-19.38512924011972	1	1
POLR2F_POLR2F-1	POLR2F	list	-19.303488286208033	1	1
PSMD1_PSMD1-2	PSMD1	list	-19.222050601958596	1	1
NUP205_NUP205-8	NUP205	list	-19.214955877604115	1	1
PSMC4_PSMC4-4	PSMC4	list	-19.20025282050426	1	1
COPZ1_COPZ1-12	COPZ1	list	-19.16204990001723	1	1
PSMB2_PSMB2-20	PSMB2	list	-19.06299826275876	1	1
PSMB2_PSMB2-21	PSMB2	list	-18.964191836469244	1	1
RPL30_RPL30-7	RPL30	list	-18.80783788261673	1	1
RPL18A_RPL18A-1	RPL18A	list	-18.723615613481577	1	1
COPS6_COPS6-8	COPS6	list	-18.697378787114452	1	1
NUP93_NUP93-9	NUP93	list	-18.69504238438819	1	1
PSMD7_PSMD7-2	PSMD7	list	-18.57376921860058	1	1
RPL18A_RPL18A-2	RPL18A	list	-18.45425901038513	1	1
RPL5_RPL5-4	RPL5	list	-18.342135980573794	1	1
COPB1_COPB1-5	COPB1	list	-18.148373761089335	1	1
PSMD11_PSMD11-6	PSMD11	list	-18.062371089359576	1	1
RPL3_RPL3-2	RPL3	list	-18.019020043355834	1	1
RPL11_RPL11-3	RPL11	list	-17.997733299543643	1	1
RPL34_RPL34-7	RPL34	list	-17.927111557892882	1	1
PSMC2_PSMC2-12	PSMC2	list	-17.639636706452354	1	1
RPS27_RPS27-5	RPS27	list	-17.59628260526944	1	1
RPS8_RPS8-5	RPS8	list	-17.552798253606877	1	1
PSMD6_PSMD6-17	PSMD6	list	-17.371026678201357	1	1
RPL6_RPL6-2	RPL6	list	-17.22963303181727	1	1
PSMC2_PSMC2-4	PSMC2	list	-17.092779243389444	1	1
RPS8_RPS8-6	RPS8	list	-16.94130183805349	1	1
PSMD6_PSMD6-15	PSMD6	list	-16.87927026619277	1	1
RPL30_RPL30-1	RPL30	list	-16.722468226339817	1	1
PSMD6_PSMD6-11	PSMD6	list	-16.67380058719927	1	1
PSMD6_PSMD6-9	PSMD6	list	-16.352497930454724	1	1
PSMB2_PSMB2-17	PSMB2	list	-16.11576251112125	1	1
RPL9_RPL9-10	RPL9	list	-16.074213957843362	1	1
PSMD11_PSMD11-1	PSMD11	list	-16.07123466145553	1	1
NUP98_NUP98-2	NUP98	list	-16.067273085878387	1	1
NUP98_NUP98-7	NUP98	list	-15.962503794435442	1	1
RPS27_RPS27-3	RPS27	list	-15.795764502297136	1	1
COPS8_COPS8-2	COPS8	list	-15.759942918577618	1	1
PSMD1_PSMD1-21	PSMD1	list	-15.113771245704605	1	1
PSMD1_PSMD1-8	PSMD1	list	-15.083375198288506	1	1
COPS4_COPS4-10	COPS4	list	-15.049074589710667	1	1
PSMC2_PSMC2-9	PSMC2	list	-14.653601679467483	1	1
RPS13_RPS13-1	RPS13	list	-13.973233026017862	1	1
PSMD1_PSMD1-19	PSMD1	list	-13.898056156564113	1	1
PSMA3_PSMA3-10	PSMA3	list	-13.630100772117896	1	1
RPS11_RPS11-7	RPS11	list	-13.546796301806886	1	1
COPB1_COPB1-4	COPB1	list	-13.12924653449717	1	1
RPS11_RPS11-9	RPS11	list	-12.90378160628256	1	1
NUP54_NUP54-8	NUP54	list	-12.675845825539778	1	1
COPS2_COPS2-5	COPS2	list	-12.57203761147547	1	1
RPL3_RPL3-10	RPL3	list	-12.488096313396433	1	1
PSMC2_PSMC2-13	PSMC2	list	-12.40389162869753	1	1
PSMD7_PSMD7-10	PSMD7	list	-12.269873624895796	1	1
RPL27_RPL27-8	RPL27	list	-12.226974445807082	1	1
PSMB2_PSMB2-19	PSMB2	list	-11.812966603702248	1	1
PSMB3_PSMB3-1	PSMB3	list	-11.760254104708839	1	1
NUP98_NUP98-6	NUP98	list	-11.488805229847939	1	1
PSMB2_PSMB2-22	PSMB2	list	-11.441937826373032	1	1
NUP54_NUP54-20	NUP54	list	-11.225197453824602	1	1
RPS24_RPS24-6	RPS24	list	-11.150678017916242	1	1
RPL36_RPL36-9	RPL36	list	-11.102626704915403	1	1
POLA1_POLA1-2	POLA1	list	-11.069597158219883	1	1
NUP93_NUP93-6	NUP93	list	-10.888822537778154	1	1
RPL35A_RPL35A-2	RPL35A	list	-10.654683782799243	1	1
PSMB3_PSMB3-7	PSMB3	list	-10.220727822646818	1	1
RPL18A_RPL18A-5	RPL18A	list	-9.896875313514691	1	1
COPS2_COPS2-10	COPS2	list	-9.857342855231211	1	1
RPL5_RPL5-8	RPL5	list	-9.763171294900031	1	1
LYZL6_LYZL6-6	LYZL6	list	-9.697911021621032	1	1
RPL3_RPL3-8	RPL3	list	-9.634367601577509	1	1
PSMD1_PSMD1-9	PSMD1	list	-9.51046468264796	1	1
COPS6_COPS6-10	COPS6	list	-9.50916591360588	1	1
NUP93_NUP93-8	NUP93	list	-9.13709215826495	1	1
PSMC2_PSMC2-5	PSMC2	list	-9.029498840537222	1	1
RPS13_RPS13-3	RPS13	list	-9.018744745931132	1	1
POLR2A_POLR2A-8	POLR2A	list	-9.00799066458324	1	1
RPL36_RPL36-7	RPL36	list	-8.909001069951334	1	1
PSMC1_PSMC1-7	PSMC1	list	-8.880851229641701	1	1
RPL6_RPL6-1	RPL6	list	-8.754498486414999	1	1
NUP133_NUP133-8	NUP133	list	-8.663437761449966	1	1
POLA1_POLA1-8	POLA1	list	-8.660744165069488	1	1
COPZ1_COPZ1-5	COPZ1	list	-8.597644542308053	1	1
PSMD6_PSMD6-16	PSMD6	list	-8.544589166694657	1	1
RPS7_RPS7-1	RPS7	list	-8.262499737291181	1	1
NUP98_NUP98-3	NUP98	list	-8.185532048384633	1	1
RPS24_RPS24-10	RPS24	list	-8.120261420739082	1	1
RPS7_RPS7-6	RPS7	list	-8.094925510907652	1	1
NUP205_NUP205-4	NUP205	list	-7.8141053617419525	1	1
RPL18A_RPL18A-3	RPL18A	list	-7.7286401995101235	1	1
COPA_COPA-3	COPA	list	-7.712888147544491	1	1
PSMC4_PSMC4-10	PSMC4	list	-7.666029445449827	1	1
RPS19_RPS19-4	RPS19	list	-7.031869976062936	1	1
RPL30_RPL30-5	RPL30	list	-6.954634236899647	1	1
COPZ1_COPZ1-14	COPZ1	list	-6.929750965492592	1	1
PSMC4_PSMC4-1	PSMC4	list	-6.880630534840122	1	1
PSMD11_PSMD11-7	PSMD11	list	-6.797424391837809	1	1
POLR2F_POLR2F-10	POLR2F	list	-6.728532878070631	1	1
NUP98_NUP98-4	NUP98	list	-6.545845910824599	1	1
RPL3_RPL3-3	RPL3	list	-6.158781166299084	1	1
NUP98_NUP98-13	NUP98	list	-5.97764226061715	1	1
PSMC4_PSMC4-8	PSMC4	list	-5.80966788558663	1	1
PSMD1_PSMD1-13	PSMD1	list	-5.690002257236182	1	1
NUP98_NUP98-16	NUP98	list	-5.683992534122896	1	1
RPL27_RPL27-7	RPL27	list	-5.6821373779115225	1	1
PSMC1_PSMC1-5	PSMC1	list	-5.512296042121545	1	1
RPL3_RPL3-7	RPL3	list	-5.457871832286181	1	1
COPS6_COPS6-4	COPS6	list	-5.405302602868655	1	1
COPS2_COPS2-3	COPS2	list	-5.240894617702034	1	1
RPS3A_RPS3A-6	RPS3A	list	-5.15125762601794	1	1
COPS8_COPS8-6	COPS8	list	-5.098138834694031	1	1
RPL3_RPL3-1	RPL3	list	-5.094288705634712	1	1
COPS6_COPS6-1	COPS6	list	-5.005251660229393	1	1
RPS24_RPS24-4	RPS24	list	-4.474300637232749	1	1
PSMB3_PSMB3-5	PSMB3	list	-4.47275262813835	1	1
RPL34_RPL34-6	RPL34	list	-4.3945829248751105	1	1
NUP205_NUP205-9	NUP205	list	-4.3664628257969165	1	1
PSMD7_PSMD7-3	PSMD7	list	-4.042925001750656	1	1
POLA1_POLA1-1	POLA1	list	-3.954034371751916	1	1
RPS27_RPS27-2	RPS27	list	-3.9528406190266976	1	1
COPS8_COPS8-14	COPS8	list	-3.886795157033645	1	1
RPL3_RPL3-6	RPL3	list	-3.6606445534853287	1	1
RPS9_RPS9-6	RPS9	list	-3.219935446012714	1	1
RPS8_RPS8-3	RPS8	list	-3.189567773786056	1	1
NUP98_NUP98-9	NUP98	list	-3.007448586675849	1	1
RPL11_RPL11-6	RPL11	list	-2.9320057520332474	1	1
NUP54_NUP54-10	NUP54	list	-2.874325679009748	1	1
COPS8_COPS8-15	COPS8	list	-2.423773299898064	1	1
NUP98_NUP98-10	NUP98	list	-2.218052374548763	1	1
RPS24_RPS24-8	RPS24	list	-1.9519245667088034	1	1
NUP133_NUP133-10	NUP133	list	-1.694776862571672	1	1
PSMD7_PSMD7-6	PSMD7	list	-1.1917787693075443	1	1
RPL5_RPL5-1	RPL5	list	-1.0987590514063807	1	1
COPZ1_COPZ1-7	COPZ1	list	-0.8340304405665877	1	1
COPZ1_COPZ1-15	COPZ1	list	-0.7172128607700723	1	1
NUP98_NUP98-11	NUP98	list	-0.7011582464760812	1	1
POLR2D_POLR2D-5	POLR2D	list	-0.640587565130132	1	1
RPS11_RPS11-4	RPS11	list	-0.5771328538160062	1	1
COPS6_COPS6-3	COPS6	list	-0.5495377980263821	1	1
NUP54_NUP54-16	NUP54	list	-0.2617037534811586	1	1
RPS24_RPS24-13	RPS24	list	-0.17474604501845103	1	1
RPL9_RPL9-4	RPL9	list	0.1097144424025916	1	1
COPS8_COPS8-16	COPS8	list	0.1761476805884244	1	1
NUP205_NUP205-3	NUP205	list	0.4563797109354177	1	1
RPL36_RPL36-4	RPL36	list	0.6196690017778972	1	1
RPS27_RPS27-4	RPS27	list	0.6578021261652963	1	1
RPL9_RPL9-5	RPL9	list	0.8032246314149426	1	1
POLA1_POLA1-9	POLA1	list	0.8233514896301057	1	1
OC90_OC90-1	OC90	list	0.8331298862586273	1	1
POLR2F_POLR2F-4	POLR2F	list	0.8591558077618641	1	1
RPS7_RPS7-4	RPS7	list	0.9286283348858917	1	1
COPS8_COPS8-1	COPS8	list	0.9784795744288898	1	1
RPS11_RPS11-6	RPS11	list	0.9785768409259794	1	1
KRT25_KRT25-2	KRT25	list	1.0608238892662396	1	1
NUP54_NUP54-9	NUP54	list	1.141402729618875	1	1
CRYGB_CRYGB-8	CRYGB	list	1.1610052539529598	1	1
TPH2_TPH2-8	TPH2	list	1.2333245389869751	1	1
OR9Q2_OR9Q2-8	OR9Q2	list	1.2721489831589958	1	1
PSMC1_PSMC1-3	PSMC1	list	1.2854276849546578	1	1
PSMB3_PSMB3-10	PSMB3	list	1.288465622192845	1	1
PSMB2_PSMB2-11	PSMB2	list	1.3271135932696614	1	1
MRGPRD_MRGPRD-10	MRGPRD	list	1.417593288496198	1	1
PSMD1_PSMD1-14	PSMD1	list	1.4719711173821382	1	1
IL22_IL22-2	IL22	list	1.5730053685786138	1	1
LUZP4_LUZP4-1	LUZP4	list	1.6017797826270432	1	1
COPZ1_COPZ1-9	COPZ1	list	1.6833976867650124	1	1
PSMD1_PSMD1-16	PSMD1	list	1.769218887517048	1	1
OR9Q2_OR9Q2-7	OR9Q2	list	1.8212231359362592	1	1
NPHS2_NPHS2-5	NPHS2	list	1.8251812495701707	1	1
NPSR1_NPSR1-10	NPSR1	list	1.8468691768781067	1	1
MRGPRD_MRGPRD-2	MRGPRD	list	1.8862913449252123	1	1
IL1F10_IL1F10-1	IL1F10	list	1.915390537597723	1	1
NUP205_NUP205-6	NUP205	list	1.9930480565058453	1	1
KRT25_KRT25-4	KRT25	list	1.9998925224230477	1	1
RNASE9_RNASE9-7	RNASE9	list	2.218074243856132	1	1
SPATA16_SPATA16-1	SPATA16	list	2.26394847199767	1	1
