group_id	items_in_group	lo_value	p	FDR	goodsgrna
COPS4	10	8.9443e-01	9.7091e-01	0.999995	1
RPS24	13	8.9731e-01	9.8117e-01	0.999995	4
RPL6	2	8.9761e-01	8.9821e-01	0.999995	0
PSMA3	10	9.0279e-01	9.7306e-01	0.999995	3
RPS11	10	9.0617e-01	9.7406e-01	0.999995	1
IL1F10	10	9.1829e-01	9.7743e-01	0.999995	3
PSMC2	14	9.2391e-01	9.8742e-01	0.999995	3
COPB1	10	9.2914e-01	9.8074e-01	0.999995	1
PSMB2	24	9.3137e-01	9.9556e-01	0.999995	3
RPL35A	7	9.5161e-01	9.7498e-01	0.999995	1
RPL5	10	9.5676e-01	9.8726e-01	0.999995	2
RPL34	7	9.7496e-01	9.8160e-01	0.999995	1
COPS2	10	9.7711e-01	9.9192e-01	0.999995	2
RPL9	10	9.8350e-01	9.9394e-01	0.999995	2
PSMC1	10	9.8499e-01	9.9444e-01	0.999995	1
RPS27	5	9.9065e-01	9.9057e-01	0.999995	0
RPS3A	6	9.9697e-01	9.9688e-01	0.999995	0
COPS6	10	9.9882e-01	9.9879e-01	0.999995	1
POLA1	10	9.9929e-01	9.9921e-01	0.999995	0
NUP93	11	9.9944e-01	9.9949e-01	0.999995	1
NUP54	11	9.9966e-01	9.9971e-01	0.999995	0
RPS8	10	9.9967e-01	9.9959e-01	0.999995	0
POLR2D	10	9.9974e-01	9.9969e-01	0.999995	0
NUP205	10	9.9980e-01	9.9976e-01	0.999995	0
RPL18A	8	9.9982e-01	9.9977e-01	0.999995	0
RPS19	10	9.9985e-01	9.9982e-01	0.999995	0
POLR2F	10	9.9987e-01	9.9983e-01	0.999995	0
PSMD6	19	9.9989e-01	9.9998e-01	0.999995	1
PSMD7	10	9.9990e-01	9.9988e-01	0.999995	0
RPL11	10	9.9993e-01	9.9992e-01	0.999995	0
RPL3	11	9.9994e-01	9.9994e-01	0.999995	0
PSMD11	10	9.9996e-01	9.9995e-01	0.999995	0
PSMC4	10	9.9997e-01	9.9995e-01	0.999995	0
RPS13	10	9.9998e-01	1.0000e+00	0.999995	0
NUP98	16	1.0000e+00	1.0000e+00	0.999995	0
