sgrna	symbol	pool	p.high	prob	chosen
FCRL4-4	FCRL4	list	-8.347431804299887	1	1
LYZL6-10	LYZL6	list	-8.344244175428969	1	1
ADH7-7	ADH7	list	-8.303704687270685	1	1
KRT77-4	KRT77	list	-8.078723240295846	1	1
VN1R2-2	VN1R2	list	-8.0739339463101	1	1
NPSR1-3	NPSR1	list	-8.02735338515338	1	1
KRT77-9	KRT77	list	-7.967760168274991	1	1
TGM6-5	TGM6	list	-7.9480234935071365	1	1
VN1R2-9	VN1R2	list	-7.923327921072294	1	1
NUP133-4	NUP133	list	-7.91487258054267	1	1
KRT25-8	KRT25	list	-7.9137140913363435	1	1
VN1R2-8	VN1R2	list	-7.880380629642639	1	1
CRYGB-4	CRYGB	list	-7.854672960656067	1	1
TGM6-14	TGM6	list	-7.848709755152364	1	1
IL22-1	IL22	list	-7.839928120960556	1	1
TAAR8-2	TAAR8	list	-7.797416391178089	1	1
DMRTC2-4	DMRTC2	list	-7.739415425427932	1	1
NLRP5-7	NLRP5	list	-7.692371053295716	1	1
PLA2G2E-8	PLA2G2E	list	-7.606444753924597	1	1
IL22-8	IL22	list	-7.604225456630234	1	1
OR12D2-9	OR12D2	list	-7.602822746109423	1	1
PLA2G2E-4	PLA2G2E	list	-7.584159833898886	1	1
SPATA16-6	SPATA16	list	-7.577028446093492	1	1
OR52E8-5	OR52E8	list	-7.526039325374217	1	1
VN1R2-6	VN1R2	list	-7.475935320681801	1	1
HTR3D-6	HTR3D	list	-7.465031957983681	1	1
RNASE9-10	RNASE9	list	-7.450694561050594	1	1
PIWIL3-7	PIWIL3	list	-7.442038519612831	1	1
OR52E8-1	OR52E8	list	-7.429632937254802	1	1
MRGPRD-4	MRGPRD	list	-7.397554918844829	1	1
NPSR1-2	NPSR1	list	-7.359664254653819	1	1
NPHS2-6	NPHS2	list	-7.346828421334803	1	1
NPHS2-10	NPHS2	list	-7.314939741212412	1	1
OLIG2-10	OLIG2	list	-7.280865129238197	1	1
TRIM42-1	TRIM42	list	-7.265445598994941	1	1
FCRL4-8	FCRL4	list	-7.225495030724728	1	1
RNASE9-2	RNASE9	list	-7.223139160710383	1	1
MAGEB3-10	MAGEB3	list	-7.221960443494382	1	1
KRT9-7	KRT9	list	-7.213942253368559	1	1
OR12D2-8	OR12D2	list	-7.2002959174480585	1	1
LUZP4-2	LUZP4	list	-7.149182704684434	1	1
TGM6-10	TGM6	list	-7.035655353739253	1	1
PLA2G2E-10	PLA2G2E	list	-7.024562826139789	1	1
RXFP2-4	RXFP2	list	-6.9897336996656305	1	1
PLA2G2E-7	PLA2G2E	list	-6.954642979107371	1	1
DEFB129-5	DEFB129	list	-6.915648014597733	1	1
RPL36-8	RPL36	list	-6.912496254880206	1	1
CABP5-4	CABP5	list	-6.87024008163748	1	1
PSMB3-4	PSMB3	list	-6.829429537575294	1	1
TAAR8-1	TAAR8	list	-6.814610419147065	1	1
PSMC2-6	PSMC2	list	-6.791394887903085	1	1
KRT74-8	KRT74	list	-6.758702885357271	1	1
RXFP2-1	RXFP2	list	-6.755833757851315	1	1
TAAR8-8	TAAR8	list	-6.743976141815524	1	1
RPS24-1	RPS24	list	-6.734674341870749	1	1
CRYGB-9	CRYGB	list	-6.73263402419439	1	1
CRYGB-3	CRYGB	list	-6.72426231337045	1	1
RPTN-6	RPTN	list	-6.719268069474757	1	1
OTUD6A-4	OTUD6A	list	-6.709257035078472	1	1
TAS2R9-9	TAS2R9	list	-6.697110435280827	1	1
FAM71B-4	FAM71B	list	-6.695408891395567	1	1
RPTN-8	RPTN	list	-6.662421122780728	1	1
TAAR1-6	TAAR1	list	-6.646415970214933	1	1
ABCG8-4	ABCG8	list	-6.645060773220413	1	1
OTUD6A-2	OTUD6A	list	-6.616998716421818	1	1
OLIG2-3	OLIG2	list	-6.596134853124439	1	1
ADH7-3	ADH7	list	-6.591478310151707	1	1
TGM6-8	TGM6	list	-6.590103284073424	1	1
COPZ1-13	COPZ1	list	-6.586560101459609	1	1
SAGE1-10	SAGE1	list	-6.5434802445371885	1	1
TAAR8-5	TAAR8	list	-6.542555350287416	1	1
NPSR1-8	NPSR1	list	-6.498312675267645	1	1
PIWIL3-4	PIWIL3	list	-6.496784623795927	1	1
LUZP4-6	LUZP4	list	-6.4378067128910565	1	1
SPATA16-5	SPATA16	list	-6.403275995738544	1	1
OR9Q2-1	OR9Q2	list	-6.389599976111984	1	1
OR9Q2-5	OR9Q2	list	-6.373577486487219	1	1
TRIM42-9	TRIM42	list	-6.372100721161498	1	1
OR9Q2-10	OR9Q2	list	-6.370906651861336	1	1
OR52E8-3	OR52E8	list	-6.37021341801675	1	1
TAAR1-4	TAAR1	list	-6.3531280801973	1	1
IL22-5	IL22	list	-6.3375044837617045	1	1
COPS4-5	COPS4	list	-6.32996260477961	1	1
LUZP4-3	LUZP4	list	-6.313455287964389	1	1
TPH2-2	TPH2	list	-6.30648953171017	1	1
KRT74-1	KRT74	list	-6.302601563408234	1	1
ABCG8-3	ABCG8	list	-6.285591261268191	1	1
ABCG8-7	ABCG8	list	-6.283956475186088	1	1
LHX5-7	LHX5	list	-6.272218208483295	1	1
NPHS2-4	NPHS2	list	-6.253270356609295	1	1
TGM6-13	TGM6	list	-6.248801914167509	1	1
RPS11-5	RPS11	list	-6.217656670509629	1	1
LHX5-4	LHX5	list	-6.207706680850045	1	1
HTR3D-10	HTR3D	list	-6.180193331091906	1	1
CABP5-10	CABP5	list	-6.160597776500206	1	1
DEFB129-2	DEFB129	list	-6.1569425140572624	1	1
OR12D2-3	OR12D2	list	-6.134422877685408	1	1
SPATA16-8	SPATA16	list	-6.131546098396801	1	1
PLA2G2E-2	PLA2G2E	list	-6.124049583819631	1	1
PLA2G2E-6	PLA2G2E	list	-6.096271006857488	1	1
RXFP2-3	RXFP2	list	-6.096037562019634	1	1
KRT25-7	KRT25	list	-6.072974612981114	1	1
RXFP2-7	RXFP2	list	-6.045243544792202	1	1
KRT9-10	KRT9	list	-6.041578172916458	1	1
DMRTB1-5	DMRTB1	list	-6.029246466050878	1	1
TAAR1-5	TAAR1	list	-6.0128200869683575	1	1
TAAR8-3	TAAR8	list	-6.001677297834376	1	1
TAAR1-10	TAAR1	list	-5.9736284079158875	1	1
TPH2-7	TPH2	list	-5.903616511257796	1	1
KRT77-6	KRT77	list	-5.8724265467471	1	1
ABCG8-1	ABCG8	list	-5.833128797400999	1	1
OR12D2-4	OR12D2	list	-5.826880970541243	1	1
COPB1-9	COPB1	list	-5.800779411893107	1	1
RPS9-5	RPS9	list	-5.79159233729032	1	1
LUZP4-7	LUZP4	list	-5.769356535771843	1	1
NPHS2-1	NPHS2	list	-5.710714278846937	1	1
TAAR8-10	TAAR8	list	-5.705718972058831	1	1
TRIM42-6	TRIM42	list	-5.66180181386046	1	1
PSMB3-8	PSMB3	list	-5.659646240984035	1	1
TGM6-6	TGM6	list	-5.649783041164548	1	1
PLA2G2E-5	PLA2G2E	list	-5.61415700419953	1	1
CRYGB-2	CRYGB	list	-5.5747266493419625	1	1
RXFP2-5	RXFP2	list	-5.534831432973266	1	1
CYP7A1-2	CYP7A1	list	-5.528483022136486	1	1
MAGEB3-1	MAGEB3	list	-5.524063757594988	1	1
DEFB129-1	DEFB129	list	-5.481760489275545	1	1
KRT74-2	KRT74	list	-5.453875853067338	1	1
VN1R2-5	VN1R2	list	-5.442581450543185	1	1
TPH2-6	TPH2	list	-5.404467821067621	1	1
OR12D2-5	OR12D2	list	-5.392132758205147	1	1
TAS2R13-7	TAS2R13	list	-5.335356883078774	1	1
TAS2R9-8	TAS2R9	list	-5.33074952176658	1	1
RPL27-3	RPL27	list	-5.257683168625647	1	1
IL22-6	IL22	list	-5.240253267284684	1	1
RPTN-7	RPTN	list	-5.229007951380182	1	1
TAS2R9-5	TAS2R9	list	-5.212979933360494	1	1
LUZP4-4	LUZP4	list	-5.209113060649932	1	1
OR9Q2-3	OR9Q2	list	-5.199895801616253	1	1
CRYGB-7	CRYGB	list	-5.1932400636002685	1	1
OC90-3	OC90	list	-5.137377239625414	1	1
RPTN-3	RPTN	list	-5.1312468042179775	1	1
POU4F2-6	POU4F2	list	-5.098278206052147	1	1
NPSR1-5	NPSR1	list	-5.062146304905587	1	1
FCRL4-5	FCRL4	list	-5.048204527510559	1	1
RPS24-9	RPS24	list	-5.0219218542174735	1	1
CABP5-2	CABP5	list	-4.997733958648788	1	1
TAS2R13-5	TAS2R13	list	-4.9925545766971515	1	1
KRT25-1	KRT25	list	-4.9815427603047056	1	1
KRT77-1	KRT77	list	-4.9779852501458794	1	1
DEFB129-9	DEFB129	list	-4.972289525333117	1	1
MAGEB3-7	MAGEB3	list	-4.965579229497165	1	1
LHX5-8	LHX5	list	-4.958132514823502	1	1
DEFB129-6	DEFB129	list	-4.915184198051636	1	1
LHX5-9	LHX5	list	-4.914036064240547	1	1
NPHS2-9	NPHS2	list	-4.9085113626293415	1	1
PSMB2-8	PSMB2	list	-4.897254892055883	1	1
KRT25-10	KRT25	list	-4.888853687741298	1	1
POU4F2-10	POU4F2	list	-4.871660282842152	1	1
OC90-5	OC90	list	-4.867541562510884	1	1
DEFB129-7	DEFB129	list	-4.8668611442617165	1	1
HTR3D-1	HTR3D	list	-4.8544598737086915	1	1
LHX5-1	LHX5	list	-4.824450327714739	1	1
OLIG2-9	OLIG2	list	-4.7929339833328735	1	1
OLIG2-2	OLIG2	list	-4.774211751605859	1	1
OLIG2-8	OLIG2	list	-4.745227797036298	1	1
NLRP5-2	NLRP5	list	-4.736414421483878	1	1
KRT77-10	KRT77	list	-4.724998474147149	1	1
TRIM42-8	TRIM42	list	-4.717259022742959	1	1
KRT77-8	KRT77	list	-4.705066864436883	1	1
OR9Q2-9	OR9Q2	list	-4.694880624210448	1	1
SAGE1-1	SAGE1	list	-4.675685239281069	1	1
RNASE9-3	RNASE9	list	-4.664553252654794	1	1
PIWIL3-1	PIWIL3	list	-4.658868575535262	1	1
TRIM42-2	TRIM42	list	-4.641200466758055	1	1
OR9Q2-2	OR9Q2	list	-4.570580337597874	1	1
PIWIL3-3	PIWIL3	list	-4.567491833600555	1	1
FCRL4-6	FCRL4	list	-4.5549790799653795	1	1
LUZP4-5	LUZP4	list	-4.519240365844281	1	1
TPH2-9	TPH2	list	-4.51274128853034	1	1
KRT77-3	KRT77	list	-4.505768816103959	1	1
VN1R2-1	VN1R2	list	-4.504995161300428	1	1
TAS2R9-2	TAS2R9	list	-4.5045927440550475	1	1
RPS7-2	RPS7	list	-4.502396948123805	1	1
IL1F10-5	IL1F10	list	-4.496402809192013	1	1
HTR3D-2	HTR3D	list	-4.486673565354015	1	1
TRIM42-5	TRIM42	list	-4.48363031998104	1	1
TAAR1-3	TAAR1	list	-4.478034803027794	1	1
TAAR8-4	TAAR8	list	-4.4749532980714894	1	1
KRT77-2	KRT77	list	-4.473745461833604	1	1
CYP7A1-5	CYP7A1	list	-4.461182440187769	1	1
PSMA3-7	PSMA3	list	-4.4533044789861895	1	1
TAS2R13-3	TAS2R13	list	-4.434891689925969	1	1
KRT74-5	KRT74	list	-4.370583687876049	1	1
LYZL6-1	LYZL6	list	-4.365877166110841	1	1
KRT9-6	KRT9	list	-4.363456219181861	1	1
SAGE1-3	SAGE1	list	-4.342100288736571	1	1
TAAR1-1	TAAR1	list	-4.333128511669551	1	1
KRT25-9	KRT25	list	-4.325833310385517	1	1
TPH2-5	TPH2	list	-4.311788124174584	1	1
OTUD6A-1	OTUD6A	list	-4.2988337563038845	1	1
NPSR1-6	NPSR1	list	-4.296325030919565	1	1
LUZP4-10	LUZP4	list	-4.2795054213046555	1	1
FCRL4-2	FCRL4	list	-4.273002819567474	1	1
HTR3D-9	HTR3D	list	-4.268880809255927	1	1
PIWIL3-10	PIWIL3	list	-4.266634083451348	1	1
DMRTC2-10	DMRTC2	list	-4.2422928376896385	1	1
OR12D2-10	OR12D2	list	-4.237218607585473	1	1
PSMC2-8	PSMC2	list	-4.231745285360025	1	1
IL22-10	IL22	list	-4.226538768521119	1	1
PIWIL3-8	PIWIL3	list	-4.135461775322515	1	1
MRGPRD-5	MRGPRD	list	-4.129379423265897	1	1
CYP7A1-1	CYP7A1	list	-4.119085145188905	1	1
PLA2G2E-3	PLA2G2E	list	-4.103919775845065	1	1
NPHS2-3	NPHS2	list	-4.089119061427942	1	1
TAS2R9-3	TAS2R9	list	-4.0320543961135025	1	1
TAS2R9-1	TAS2R9	list	-4.0274370190523925	1	1
OR12D2-1	OR12D2	list	-4.02682389314339	1	1
RPL27-5	RPL27	list	-4.003008085228732	1	1
PSMC1-2	PSMC1	list	-4.000133558619612	1	1
DMRTC2-2	DMRTC2	list	-3.9380453819344026	1	1
CYP7A1-3	CYP7A1	list	-3.936934272067635	1	1
LHX5-5	LHX5	list	-3.9335919213713204	1	1
MAGEB3-9	MAGEB3	list	-3.9332193048162116	1	1
KRT9-9	KRT9	list	-3.930083406555421	1	1
KRT74-4	KRT74	list	-3.8881370298421762	1	1
DEFB129-10	DEFB129	list	-3.8489982228370305	1	1
RPL35A-3	RPL35A	list	-3.8303335279044948	1	1
NPSR1-7	NPSR1	list	-3.7972601545055564	1	1
RNASE9-5	RNASE9	list	-3.78879627400011	1	1
IL1F10-8	IL1F10	list	-3.7764758469146034	1	1
PSMB2-24	PSMB2	list	-3.751744153744044	1	1
RPTN-5	RPTN	list	-3.7104047021609032	1	1
OC90-4	OC90	list	-3.6768096447750453	1	1
PLA2G2E-9	PLA2G2E	list	-3.664302556188054	1	1
RNASE9-8	RNASE9	list	-3.596001389002603	1	1
KRT77-5	KRT77	list	-3.554713246307068	1	1
KRT25-6	KRT25	list	-3.5499279309430443	1	1
RXFP2-10	RXFP2	list	-3.540062391224257	1	1
FCRL4-1	FCRL4	list	-3.5107793196257266	1	1
CABP5-3	CABP5	list	-3.4873974021684995	1	1
KRT74-9	KRT74	list	-3.4872762068503644	1	1
NLRP5-3	NLRP5	list	-3.4870335854719445	1	1
OR12D2-2	OR12D2	list	-3.4852257577839354	1	1
CYP7A1-8	CYP7A1	list	-3.4479693890888488	1	1
KRT25-5	KRT25	list	-3.3994120109759067	1	1
DMRTB1-3	DMRTB1	list	-3.38845874859691	1	1
RPS7-8	RPS7	list	-3.378965153222239	1	1
ABCG8-8	ABCG8	list	-3.366754996323209	1	1
OTUD6A-5	OTUD6A	list	-3.3608413422944188	1	1
TPH2-10	TPH2	list	-3.3524315112832106	1	1
ADH7-2	ADH7	list	-3.3496079722800265	1	1
FCRL4-7	FCRL4	list	-3.3434744898226088	1	1
RPTN-2	RPTN	list	-3.3334498831145325	1	1
MRGPRD-3	MRGPRD	list	-3.308598537631117	1	1
VN1R2-7	VN1R2	list	-3.2959399676069	1	1
PSMD6-2	PSMD6	list	-3.2737213890994763	1	1
LHX5-6	LHX5	list	-3.2593818467866935	1	1
IL22-9	IL22	list	-3.255564083065837	1	1
ABCG8-5	ABCG8	list	-3.2331221609728753	1	1
DMRTB1-9	DMRTB1	list	-3.1818518930411743	1	1
ADH7-6	ADH7	list	-3.142883011062355	1	1
RPL5-7	RPL5	list	-3.1259184423043562	1	1
SAGE1-7	SAGE1	list	-3.1242860507394403	1	1
KRT9-4	KRT9	list	-3.124009659540002	1	1
OTUD6A-9	OTUD6A	list	-3.1223926713967898	1	1
TGM6-9	TGM6	list	-3.097628267851177	1	1
HTR3D-4	HTR3D	list	-3.015646239340374	1	1
RPTN-10	RPTN	list	-2.940897688187348	1	1
CYP7A1-10	CYP7A1	list	-2.9337791463193867	1	1
ABCG8-10	ABCG8	list	-2.931297878677974	1	1
PIWIL3-2	PIWIL3	list	-2.910367120325426	1	1
OC90-2	OC90	list	-2.878244048813047	1	1
TGM6-11	TGM6	list	-2.8763911190923652	1	1
TAS2R13-1	TAS2R13	list	-2.876029294690402	1	1
DMRTB1-7	DMRTB1	list	-2.851000928763887	1	1
DMRTC2-6	DMRTC2	list	-2.847536128185874	1	1
OLIG2-7	OLIG2	list	-2.8474912160726897	1	1
MAGEB3-3	MAGEB3	list	-2.8402938922024457	1	1
RPL5-10	RPL5	list	-2.8154722336732716	1	1
PSMA3-4	PSMA3	list	-2.7653636576997807	1	1
IL22-3	IL22	list	-2.762190015247773	1	1
NLRP5-9	NLRP5	list	-2.7474554687286927	1	1
RPL34-2	RPL34	list	-2.7199861701664267	1	1
OR12D2-7	OR12D2	list	-2.6972620187795053	1	1
TPH2-4	TPH2	list	-2.6853284855550426	1	1
RPL30-10	RPL30	list	-2.6788875411737942	1	1
RPL9-8	RPL9	list	-2.64083460217143	1	1
PSMC2-10	PSMC2	list	-2.5916719586358057	1	1
FAM71B-7	FAM71B	list	-2.5840535595841536	1	1
COPS8-8	COPS8	list	-2.569542421441835	1	1
TPH2-1	TPH2	list	-2.562788908888526	1	1
TAS2R13-6	TAS2R13	list	-2.557371353229694	1	1
DMRTC2-8	DMRTC2	list	-2.536040367600683	1	1
TGM6-4	TGM6	list	-2.5217582182934657	1	1
OTUD6A-6	OTUD6A	list	-2.5073209660695563	1	1
VN1R2-3	VN1R2	list	-2.4964697656295	1	1
RNASE9-7	RNASE9	list	-2.4566942896872246	1	1
ABCG8-9	ABCG8	list	-2.4295308319867286	1	1
ADH7-4	ADH7	list	-2.4062792667249027	1	1
CYP7A1-4	CYP7A1	list	-2.3938052510467998	1	1
MAGEB3-6	MAGEB3	list	-2.3771479046548123	1	1
FCRL4-3	FCRL4	list	-2.2911167259395913	1	1
RPS7-7	RPS7	list	-2.2851800635686645	1	1
RPS24-2	RPS24	list	-2.2827568786170107	1	1
CRYGB-1	CRYGB	list	-2.2812687524511195	1	1
KRT9-8	KRT9	list	-2.2649273772859875	1	1
SPATA16-1	SPATA16	list	-2.2603279609660567	1	1
RNASE9-9	RNASE9	list	-2.2567302946890018	1	1
OR12D2-6	OR12D2	list	-2.254804750796108	1	1
DMRTB1-6	DMRTB1	list	-2.235548181856413	1	1
COPS2-7	COPS2	list	-2.226449623124635	1	1
TRIM42-3	TRIM42	list	-2.196887380046213	1	1
SPATA16-4	SPATA16	list	-2.1930165948345146	1	1
OC90-9	OC90	list	-2.178436746544547	1	1
CABP5-9	CABP5	list	-2.1755205628162764	1	1
RPS24-12	RPS24	list	-2.146016985620189	1	1
POU4F2-1	POU4F2	list	-2.13726306859791	1	1
RXFP2-2	RXFP2	list	-2.077903480104835	1	1
ADH7-8	ADH7	list	-1.9835943168403338	1	1
LUZP4-9	LUZP4	list	-1.9709927414182946	1	1
TRIM42-7	TRIM42	list	-1.9656779568932234	1	1
KRT9-1	KRT9	list	-1.9489746661037297	1	1
COPS2-2	COPS2	list	-1.9415878342582038	1	1
PSMA3-9	PSMA3	list	-1.9206157562367578	1	1
SPATA16-2	SPATA16	list	-1.908248688734854	1	1
KRT9-5	KRT9	list	-1.8885479242433736	1	1
IL22-7	IL22	list	-1.8675436384424395	1	1
PIWIL3-6	PIWIL3	list	-1.8420156215980843	1	1
OR9Q2-4	OR9Q2	list	-1.8279745470358184	1	1
LYZL6-3	LYZL6	list	-1.822638465193298	1	1
COPS8-3	COPS8	list	-1.7338241410693522	1	1
KRT74-6	KRT74	list	-1.7172301300744262	1	1
TAS2R13-4	TAS2R13	list	-1.6786024176200611	1	1
MRGPRD-2	MRGPRD	list	-1.6664051894413314	1	1
OLIG2-6	OLIG2	list	-1.634089503949312	1	1
CABP5-5	CABP5	list	-1.5898819718153443	1	1
DMRTC2-7	DMRTC2	list	-1.5758385240806476	1	1
MRGPRD-6	MRGPRD	list	-1.5592816565688334	1	1
IL1F10-2	IL1F10	list	-1.549142862258289	1	1
PSMD1-17	PSMD1	list	-1.52398247992437	1	1
RNASE9-1	RNASE9	list	-1.5075537885926147	1	1
MRGPRD-7	MRGPRD	list	-1.4801817536414692	1	1
RPTN-9	RPTN	list	-1.4717992149494505	1	1
RPL9-1	RPL9	list	-1.4127317006101672	1	1
POU4F2-9	POU4F2	list	-1.408563087272782	1	1
FCRL4-9	FCRL4	list	-1.3835629995572511	1	1
SPATA16-10	SPATA16	list	-1.2922795435259966	1	1
LYZL6-9	LYZL6	list	-1.2849309094925006	1	1
OC90-7	OC90	list	-1.282124448331706	1	1
SAGE1-9	SAGE1	list	-1.2289460837701842	1	1
DMRTC2-5	DMRTC2	list	-1.176649650189228	1	1
TPH2-3	TPH2	list	-1.1755595975435489	1	1
FCRL4-10	FCRL4	list	-1.1513056029584219	1	1
OC90-8	OC90	list	-1.0976089062114882	1	1
KRT9-2	KRT9	list	-1.089251199424214	1	1
COPZ1-8	COPZ1	list	-1.062187781172321	1	1
CYP7A1-6	CYP7A1	list	-1.053968039724183	1	1
CRYGB-6	CRYGB	list	-0.9691736518161652	1	1
DMRTC2-9	DMRTC2	list	-0.9379942773760033	1	1
TAAR8-6	TAAR8	list	-0.8733196329852062	1	1
COPS6-9	COPS6	list	-0.8607735679674887	1	1
SPATA16-3	SPATA16	list	-0.8465923618810556	1	1
HTR3D-8	HTR3D	list	-0.8403439674226646	1	1
NUP93-5	NUP93	list	-0.8230786129652229	1	1
OC90-6	OC90	list	-0.7582200879855739	1	1
DMRTB1-4	DMRTB1	list	-0.742404977352205	1	1
RNASE9-11	RNASE9	list	-0.7397474105409083	1	1
FAM71B-9	FAM71B	list	-0.655685279109388	1	1
OTUD6A-3	OTUD6A	list	-0.6237912200368355	1	1
DMRTB1-1	DMRTB1	list	-0.6156725136346491	1	1
